Key,english
quest_nightmare_response10,[9500b5]Nightmare Clear[-] at [A3B3DE]{poi.name}[-] [66033c]T6 POI[-] ([DECEA3]{poi.distance} {poi.direction}[-])

quest_superinfestation_subtitle,Super Infestation
quest_ultrainfestation_subtitle,Ultra Infestation
quest_nightmare_subtitle,Nightmare Infestation

quest_superinfestation_statement,Clear the Super Infested Area
quest_ultrainfestation_statement,Clear the Ultra Infested Area
quest_nightmare_statement,"End this Nightmare!"

quest_tier2_superinfested_clear_offer,"We located a super infested zombie nest nearby. The location is critical to the survival of our colony. Go clear out the zombies at [DECEA3]{poi.name}[-]. Remember, there’s more of them, they’re moving faster and they’re harder to kill. Good Luck!"
quest_tier2_ultrainfested_clear_offer,"We located an ultra infested zombie nest nearby. The location is critical to the survival of our colony. Go clear out the zombies at [DECEA3]{poi.name}[-]. Remember, there’s more of them, they’re moving faster and they’re harder to kill. Good Luck!"
quest_tier2_nightmare_clear_offer,"We located a nightmare nearby. The location is critical to the survival of our colony. Go clear out the zombies at [DECEA3]{poi.name}[-]. Remember, there’s more of them, they’re moving faster and they’re harder to kill. Good Luck!"

quest_tier3_superinfested_clear_offer,"We’ve caught word from one of our runners that our safehouse at [DECEA3]{poi.name}[-] has become a super infested zombie hive. Clear the threat survivor!"
quest_tier3_ultrainfested_clear_offer,"We’ve caught word from one of our runners that our safehouse at [DECEA3]{poi.name}[-] has become an ultra infested zombie hive. Clear the threat survivor!"
quest_tier3_nightmare_clear_offer,"We’ve caught word from one of our runners that our safehouse at [DECEA3]{poi.name}[-] has become completely overrun. It's a nightmare!"

quest_tier4_superinfested_clear_offer,"We’ve just learned that a swarm of super infested zombies has wiped out our team at [DECEA3]{poi.name}[-]. Gather up all your weapons and go kick some zombie ASS!"
quest_tier4_ultrainfested_clear_offer,"We’ve just learned that a swarm of ultra infested zombies has wiped out our team at [DECEA3]{poi.name}[-]. Gather up all your weapons and go kick some zombie ASS!"
quest_tier4_nightmare_clear_offer,"We’ve just learned that an immense swarm of infested zombies has completely wiped out our team at [DECEA3]{poi.name}[-]. Gather up all your weapons and end this nightmare!"

quest_tier5_superinfested_clear_offer,"Holy Shit! A major settlement has been overrun by a colony of super infested zombies. Use extreme caution and clear the threat at [DECEA3]{poi.name}[-]."
quest_tier5_ultrainfested_clear_offer,"Holy Shit! A major settlement has been overrun by a colony of ultra infested zombies. Use extreme caution and clear the threat at [DECEA3]{poi.name}[-]."
quest_tier5_nightmare_clear_offer,"Holy Shit! Don't go to [DECEA3]{poi.name}[-]! They're everywhere, RUN!"

quest_tier6_superinfested_clear_offer,"Holy Shit! A major settlement has been overrun by a colony of super infested zombies. Use extreme caution and clear the threat at [DECEA3]{poi.name}[-]."
quest_tier6_ultrainfested_clear_offer,"Holy Shit! A major settlement has been overrun by a colony of ultra infested zombies. Use extreme caution and clear the threat at [DECEA3]{poi.name}[-]."
quest_tier6_nightmare_clear_offer,"Holy Shit! Don't go to [DECEA3]{poi.name}[-]! They're everywhere, RUN!"

quest_tier7_superinfested_clear_offer,"Holy Shit! A major settlement has been overrun by a colony of super infested zombies. Use extreme caution and clear the threat at [DECEA3]{poi.name}[-]."
quest_tier7_ultrainfested_clear_offer,"Holy Shit! A major settlement has been overrun by a colony of ultra infested zombies. Use extreme caution and clear the threat at [DECEA3]{poi.name}[-]."
quest_tier7_nightmare_clear_offer,"Holy Shit! Don't go to [DECEA3]{poi.name}[-]! They're everywhere, RUN!"

quest_tier8_superinfested_clear_offer,"Holy Shit! A major settlement has been overrun by a colony of super infested zombies. Use extreme caution and clear the threat at [DECEA3]{poi.name}[-]."
quest_tier8_ultrainfested_clear_offer,"Holy Shit! A major settlement has been overrun by a colony of ultra infested zombies. Use extreme caution and clear the threat at [DECEA3]{poi.name}[-]."
quest_tier8_nightmare_clear_offer,"Holy Shit! Don't go to [DECEA3]{poi.name}[-]! They're everywhere, RUN!"

quest_tier9_superinfested_clear_offer,"Holy Shit! A major settlement has been overrun by a colony of super infested zombies. Use extreme caution and clear the threat at [DECEA3]{poi.name}[-]."
quest_tier9_ultrainfested_clear_offer,"Holy Shit! A major settlement has been overrun by a colony of ultra infested zombies. Use extreme caution and clear the threat at [DECEA3]{poi.name}[-]."
quest_tier9_nightmare_clear_offer,"Holy Shit! Don't go to [DECEA3]{poi.name}[-]! They're everywhere, RUN!"

quest_tier10_superinfested_clear_offer,"Holy Shit! A major settlement has been overrun by a colony of super infested zombies. Use extreme caution and clear the threat at [DECEA3]{poi.name}[-]."
quest_tier10_ultrainfested_clear_offer,"Holy Shit! A major settlement has been overrun by a colony of ultra infested zombies. Use extreme caution and clear the threat at [DECEA3]{poi.name}[-]."
quest_tier10_nightmare_clear_offer,"Holy Shit! Don't go to [DECEA3]{poi.name}[-]! They're everywhere, RUN!"
