Key,File,Type,UsedInMainMenu,NoTranslate,english,russian
cre_modArmorBandolierT2Desc,items,Item,,,Reload Speed +19%,Скорость перезарядки +19%
cre_modArmorFittingsT2Desc,items,Item,,,Mobility +2.7%,Мобильность +2.7%
cre_modArmorPlatingT2Desc,items,Item,,,Armor +1.75,Броня  +1.75
cre_modArmorGlovesStaminaT2Desc,items,Item,,,Stamina drain -15%,Трата выносливости -15%
cre_modArmorGlovesSpeedT2Desc,items,Item,,,Attack speed +25% Reload Speed +11%,Скорость атаки +25% Скорость перезарядка +11%
cre_modArmorBootsSpeedT2Desc,items,Item,,,Movement speed +10%,Скорость движения +10%
cre_modArmorBootsStorageT2Desc,items,Item,,,Carrying +6,Грузоподъемность +6
cre_modArmorHealthT2Desc,items,Item,,,Health +10,Здоровье +10
cre_modArmorStaminaT2Desc,items,Item,,,Stamina +10,Выносливость +10
cre_modArmorResistT2Desc,items,Item,,,Crit Resistance +10%,Сопротивление Травмам +10%
cre_modArmorReflectionShockT2Desc,items,Item,,,Electric shock in area (7 sec),Удар током в области (7 секунд)
cre_modArmorReflectionPunchT2Desc,items,Item,,,Repulsion in area (5 sec),Отталкивание в области (5 секунд)
cre_modArmorReflectionFireT2Desc,items,Item,,,Ignition in area (15 sec),Поджог в области (15 секунд)
cre_modArmorAddLootT2Desc,items,Item,,,Dukes for kill and Food Chance 2%,Дюки за убийство и шанс еды 2%
cre_modArmorBleedAnimalT2Desc,items,Item,,,Bleeding in animals upon impact +5 Extra meat,Кровотечение у животных при попадании +5 Дополнительное мясо

cre_modArmorBandolierT3Desc,items,Item,,,Reload Speed +33%,Скорость перезарядки +33%
cre_modArmorFittingsT3Desc,items,Item,,,Mobility +4.5%,Мобильность +4.5%
cre_modArmorPlatingT3Desc,items,Item,,,Armor +3.5,Броня  +3.5
cre_modArmorGlovesStaminaT3Desc,items,Item,,,Stamina drain -25%,Трата выносливости -25%
cre_modArmorGlovesSpeedT3Desc,items,Item,,,Attack speed +37% Reload Speed +17%,Скорость атаки +37% Скорость перезарядка +17%
cre_modArmorBootsSpeedT3Desc,items,Item,,,Movement speed +15%,Скорость движения +15%
cre_modArmorBootsStorageT3Desc,items,Item,,,Carrying +9,Грузоподъемность +9
cre_modArmorHealthT3Desc,items,Item,,,Health +20,Здоровье +20
cre_modArmorStaminaT3Desc,items,Item,,,Stamina +20,Выносливость +20
cre_modArmorResistT3Desc,items,Item,,,Crit Resistance +20%,Сопротивление Травмам +20%
cre_modArmorReflectionShockT3Desc,items,Item,,,Electric shock in wide area(7 sec),Удар током в широкой области (7 секунд)
cre_modArmorReflectionPunchT3Desc,items,Item,,,Repulsion in wide area(5 sec),Отталкивание в широкой области (5 секунд)
cre_modArmorReflectionFireT3Desc,items,Item,,,Ignition in wide area(15 sec),Поджог в широкой области (15 секунд)
cre_modArmorAddLootT3Desc,items,Item,,,Dukes for kill and Food Chance 3%,Дюки за убийство и шанс еды 3%
cre_modArmorBleedAnimalT3Desc,items,Item,,,Bleeding in animals upon impact +7 Extra meat,Кровотечение у животных при попадании +7 Дополнительное мясо


cre_modArmorSniperT1Desc,items,Item,,,Armor penetration +10% Head Damage +30% Penetration +1,Пробивание брони +10% Урон в голову +30% Пробитие +1
cre_modArmorSniperT2Desc,items,Item,,,Armor penetration +20% Head Damage +45% Penetration +1,Пробивание брони +20% Урон в голову +45% Пробитие +1
cre_modArmorSniperT3Desc,items,Item,,,Armor penetration +35% Head Damage +70% Penetration +1,Пробивание брони +35% Урон в голову +70% Пробитие +1









