Key,Source,Context,Changes,English,schinese,Russian
Bowman5Desc,progression,skills,New,"Increase your entity damage, weapon handling, reload speed with bows by 35% and prepare 3 additional bolts/arrows per reload.","使用弓箭时，实体伤害、武器操作、装填速度各增加 35%，每次装填时额外装填 3 支箭。","Увеличивает урон по существам, удобство обращения и скорость перезарядки луков на 35% и позволяет заряжать 3 дополнительных болта/стрелы за перезарядку."
Bowman6Desc,progression,skills,New,"Increase your entity damage, weapon handling, reload speed with bows by 42% and prepare 3 additional bolts/arrows per reload.","使用弓箭时，实体伤害、武器操作、装填速度各增加 42%，每次装填时额外装填 3 支箭。","Увеличивает урон по существам, удобство обращения и скорость перезарядки луков на 42% и позволяет заряжать 3 дополнительных болта/стрелы за перезарядку."
Bowman7Desc,progression,skills,New,"'Grip it, rip it, put it in the wind!'\n\nIncrease your entity damage, weapon handling, reload speed with bows by 50% and prepare 4 additional bolts/arrows per reload.","“握紧它，撕碎它，让它随风而去！”\n\n使用弓箭时，实体伤害、武器操作、装填速度各增加 50%，每次装填时额外装填 4 支箭。","«Хватай, рви, пускай по ветру!»\n\nУвеличивает урон по существам, удобство обращения и скорость перезарядки луков на 50% и позволяет заряжать 4 дополнительных болта/стрелы за перезарядку."
Bowman1,progression,skills,New,"Bowman I","弓箭手 I","Лучник I"
Bowman2,progression,skills,New,"Bowman II","弓箭手 II","Лучник II"
Bowman3,progression,skills,New,"Bowman III","弓箭手 III","Лучник III"
Bowman4,progression,skills,New,"Bowman IV","弓箭手 IV","Лучник IV"
Bowman5,progression,skills,New,"Bowman V","弓箭手 V","Лучник V"
Bowman6,progression,skills,New,"Bowman VI","弓箭手 VI","Лучник VI"
Bowman7,progression,skills,New,"Bowman VII","弓箭手 VII","Лучник VII"

Calisthenics,progression,skills,New,"Calisthenics","健美操","Калистеника"
Calisthenics0,progression,skills,New,"You train only using your body, anything your body is supposed to do, it can do.","你仅凭自重进行训练。凡是身体应能做到的，你皆能做到。","Ты тренируешься, используя только своё тело. Всё, что оно должно уметь, оно может."
Calisthenics1Desc,progression,skills,New,"Increase your maximum health and stamina by 5.","最大生命值和体力增加5","Увеличивает максимальное здоровье и выносливость на 5."
Calisthenics2Desc,progression,skills,New,"Increase your maximum health and stamina by 10.","最大生命值和体力增加10","Увеличивает максимальное здоровье и выносливость на 10."
Calisthenics3Desc,progression,skills,New,"Increase your maximum health and stamina by 15.","最大生命值和体力增加15","Увеличивает максимальное здоровье и выносливость на 15."
Calisthenics4Desc,progression,skills,New,"Increase your maximum health and stamina by 20.","最大生命值和体力增加20","Увеличивает максимальное здоровье и выносливость на 20."
Calisthenics5Desc,progression,skills,New,"Increase your maximum health and stamina by 25.","最大生命值和体力增加25","Увеличивает максимальное здоровье и выносливость на 25."
Calisthenics6Desc,progression,skills,New,"Increase your maximum health and stamina by 30.","最大生命值和体力增加30","Увеличивает максимальное здоровье и выносливость на 30."
Calisthenics7Desc,progression,skills,New,"You have the features of a demigod!\n\nIncrease your maximum health and stamina by 40.","你有半神的特征!\n最大生命值和体力增加40","Вы обладаете свойствами полубога!\n\nУвеличьте максимальный запас здоровья и выносливости на 40 единиц."
Calisthenics1,progression,skills,New,"Calisthenics I","健美操 I","Калистеника I"
Calisthenics2,progression,skills,New,"Calisthenics II","健美操 II","Калистеника II"
Calisthenics3,progression,skills,New,"Calisthenics III","健美操 III","Калистеника III"
Calisthenics4,progression,skills,New,"Calisthenics IV","健美操 IV","Калистеника IV"
Calisthenics5,progression,skills,New,"Calisthenics V","健美操 V","Калистеника V"
Calisthenics6,progression,skills,New,"Calisthenics VI","健美操 VI","Калистеника VI"
Calisthenics7,progression,skills,New,"Calisthenics VII","健美操 VII","Калистеника VII"

Chainsaw,progression,skills,New,"Chainsaw Massacre","电锯惊魂","Резня бензопилой"
Chainsaw0,progression,skills,New,"There is nothing more soothing than the sound of the chainsaw engine roaring.","没有什么比电锯引擎的轰鸣声更让人心旷神怡的了。","Нет ничего более успокаивающего, чем рев двигателя бензопилы."
Chainsaw1Desc,progression,skills,New,"Chainsaws have 20% increased entity damage, 3% faster reload and you move 3% faster while holding a chainsaw.","电锯对生物伤害增加 20%，装弹速度加快 3%，手持电锯时移动速度加快 3%。","Бензопилы наносят на 20% больше урона существам, перезаряжаются на 3% быстрее, и вы двигаетесь на 3% быстрее, держа бензопилу в руках."
Chainsaw2Desc,progression,skills,New,"Chainsaws have 40% increased entity damage, 6% faster reload and you move 6% faster while holding a chainsaw.","电锯对生物伤害增加 40%，装弹速度加快 6%，手持电锯时移动速度加快 6%。","Бензопилы наносят на 40% больше урона существам, перезаряжаются на 6% быстрее, и вы двигаетесь на 6% быстрее, держа бензопилу в руках."
Chainsaw3Desc,progression,skills,New,"Chainsaws have 60% increased entity damage, 9% faster reload and you move 9% faster while holding a chainsaw.","电锯对生物伤害增加 60%，装弹速度加快 9%，手持电锯时移动速度加快 9%。","Бензопилы наносят на 60% больше урона существам, перезаряжаются на 9% быстрее, и вы двигаетесь на 9% быстрее, держа бензопилу в руках."
Chainsaw4Desc,progression,skills,New,"Chainsaws have 80% increased entity damage, 12% faster reload and you move 12% faster while holding a chainsaw.","电锯对生物伤害增加 80%，装弹速度加快 12%，手持电锯时移动速度加快 12%。","Бензопилы наносят на 80% больше урона существам, перезаряжаются на 12% быстрее, и вы двигаетесь на 12% быстрее, держа бензопилу в руках."
Chainsaw5Desc,progression,skills,New,"Chainsaws have 100% increased entity damage, 15% faster reload and you move 15% faster while holding a chainsaw.","电锯对生物伤害增加 100%，装弹速度加快 15%，手持电锯时移动速度加快 15%。","Бензопилы наносят на 100% больше урона существам, перезаряжаются на 15% быстрее, и вы двигаетесь на 15% быстрее, держа бензопилу в руках."
Chainsaw6Desc,progression,skills,New,"Chainsaws have 120% increased entity damage, 18% faster reload and you move 18% faster while holding a chainsaw.","电锯对生物伤害增加 120%，装弹速度加快 18%，手持电锯时移动速度加快 18%。","Бензопилы наносят на 120% больше урона существам, перезаряжаются на 18% быстрее, и вы двигаетесь на 18% быстрее, держа бензопилу в руках."
Chainsaw7Desc,progression,skills,New,"'The saw is FAMILY!!'\n\nChainsaws have 150% increased entity damage, 25% faster reload and you move 25% faster while holding a chainsaw.","“电锯就是家人！！”\n\n电锯对生物伤害增加 150%，装弹速度加快 25%，手持电锯时移动速度加快 25%。","«Пила — это СЕМЬЯ!!»\n\nБензопилы наносят на 150% больше урона существам, перезаряжаются на 25% быстрее, и вы двигаетесь на 25% быстрее, держа бензопилу в руках."
Chainsaw1,progression,skills,New,"Chainsaw Massacre I","电锯惊魂 I","Резня бензопилой I"
Chainsaw2,progression,skills,New,"Chainsaw Massacre II","电锯惊魂 II","Резня бензопилой II"
Chainsaw3,progression,skills,New,"Chainsaw Massacre III","电锯惊魂 III","Резня бензопилой III"
Chainsaw4,progression,skills,New,"Chainsaw Massacre IV","电锯惊魂 IV","Резня бензопилой IV"
Chainsaw5,progression,skills,New,"Chainsaw Massacre V","电锯惊魂 V","Резня бензопилой V"
Chainsaw6,progression,skills,New,"Chainsaw Massacre VI","电锯惊魂 VI","Резня бензопилой VI"
Chainsaw7,progression,skills,New,"Chainsaw Massacre VII","电锯惊魂 VII","Резня бензопилой VII"

Captain,progression,skills,New,"Captain","队长","Капитан"
Captain0,progression,skills,New,"Protector of all.","众人的保护者。","Защитник всех."
Captain1Desc,progression,skills,New,"You have a 3% chance to block damage while wearing a full set of Medium Armor.","穿着全套中型护甲时，有 3% 的几率抵挡伤害。","Вы имеете 3% шанс заблокировать урон, если на вас надет полный комплект средней брони."
Captain2Desc,progression,skills,New,"You have a 6% chance to block damage while wearing a full set of Medium Armor.","穿着全套中型护甲时，有 6% 的几率抵挡伤害。","Вы имеете 6% шанс заблокировать урон, если на вас надет полный комплект средней брони."
Captain3Desc,progression,skills,New,"You have a 9% chance to block damage while wearing a full set of Medium Armor.","穿着全套中型护甲时，有 9% 的几率抵挡伤害。","Вы имеете 9% шанс заблокировать урон, если на вас надет полный комплект средней брони."
Captain4Desc,progression,skills,New,"You have a 12% chance to block damage while wearing a full set of Medium Armor.","穿着全套中型护甲时，有 12% 的几率抵挡伤害。","Вы имеете 12% шанс заблокировать урон, если на вас надет полный комплект средней брони."
Captain5Desc,progression,skills,New,"You have a 15% chance to block damage while wearing a full set of Medium Armor.","穿着全套中型护甲时，有 15% 的几率抵挡伤害。","Вы имеете 15% шанс заблокировать урон, если на вас надет полный комплект средней брони."
Captain6Desc,progression,skills,New,"You have a 18% chance to block damage while wearing a full set of Medium Armor.","穿着全套中型护甲时，有 18% 的几率抵挡伤害。","Вы имеете 18% шанс заблокировать урон, если на вас надет полный комплект средней брони."
Captain7Desc,progression,skills,New,"'I can do this all day.'\n\nYou have a 25% chance to block damage while wearing a full set of Medium Armor.","'我可以和你耗上一整天。'\n\n穿着全套中型护甲时，有 25% 的几率抵挡伤害。","'Я могу заниматься этим весь день.'\n\nВы имеете 25% шанс заблокировать урон, если на вас надет полный комплект средней брони."
Captain1,progression,skills,New,"Captain I","队长 I","Капитан I"
Captain2,progression,skills,New,"Captain II","队长 II","Капитан II"
Captain3,progression,skills,New,"Captain III","队长 III","Капитан III"
Captain4,progression,skills,New,"Captain IV","队长 IV","Капитан IV"
Captain5,progression,skills,New,"Captain V","队长 V","Капитан V"
Captain6,progression,skills,New,"Captain VI","队长 VI","Капитан VI"
Captain7,progression,skills,New,"Captain VII","队长 VII","Капитан VII"

Clubber,progression,skills,New,"Clubber","棍击者","Дубина"
Clubber0,progression,skills,New,"You are Cheems with the power of Bonk. Send anyone to horny jail.","你就是拥有“梆梆”之力的神烦狗。把所有人都送进“色色监狱”。","Ты — Чимс, наделённый силой Бонка. Отправляй всех в тюрьму для рогатых."
Clubber1Desc,progression,skills,New,"Increase your entity damage by 7%. Damage is increased by an additional 12% if you hit a target while moving.","你的实体伤害提高 7%。如果你在移动时击中目标，伤害额外增加 12%。","Увеличивает урон по сущностям на 7%. Урон увеличивается еще на 12%, если вы поражаете цель во время движения."
Clubber2Desc,progression,skills,New,"Increase your entity damage by 14%. Damage is increased by an additional 24% if you hit a target while moving.","你的实体伤害提高 14%。如果你在移动时击中目标，伤害额外增加 24%。","Увеличивает урон по сущностям на 14%. Урон увеличивается еще на 24%, если вы поражаете цель во время движения."
Clubber3Desc,progression,skills,New,"Increase your entity damage by 21%. Damage is increased by an additional 36% if you hit a target while moving.","你的实体伤害提高 21%。如果你在移动时击中目标，伤害额外增加 36%。","Увеличивает урон по сущностям на 21%. Урон увеличивается еще на 36%, если вы поражаете цель во время движения."
Clubber4Desc,progression,skills,New,"Increase your entity damage by 28%. Damage is increased by an additional 48% if you hit a target while moving.","你的实体伤害提高 28%。如果你在移动时击中目标，伤害额外增加 48%。","Увеличивает урон по сущностям на 28%. Урон увеличивается еще на 48%, если вы поражаете цель во время движения."
Clubber5Desc,progression,skills,New,"Increase your entity damage by 35%. Damage is increased by an additional 60% if you hit a target while moving.","你的实体伤害提高 35%。如果你在移动时击中目标，伤害额外增加 60%。","Увеличивает урон по сущностям на 35%. Урон увеличивается еще на 60%, если вы поражаете цель во время движения."
Clubber6Desc,progression,skills,New,"Increase your entity damage by 42%. Damage is increased by an additional 72% if you hit a target while moving.","你的实体伤害提高 42%。如果你在移动时击中目标，伤害额外增加 72%。","Увеличивает урон по сущностям на 42%. Урон увеличивается еще на 72%, если вы поражаете цель во время движения."
Clubber7Desc,progression,skills,New,"'Wanna go clubbing?'.\n\nIncrease your entity damage by 50%. Damage is increased by an additional 100% if you hit a target while moving.","“想去‘夜店’嗨一下吗？”\n\n实体伤害提高 50%。如果你在移动时击中目标，伤害额外增加 100%。","«Хочешь сходить по клубам?».\n\nУрон по существам увеличен на 50%. Урон увеличивается еще на 100%, если вы наносите удар в движении."
Clubber1,progression,skills,New,"Clubber I","棍击者 I","Дубина I"
Clubber2,progression,skills,New,"Clubber II","棍击者 II","Дубина II"
Clubber3,progression,skills,New,"Clubber III","棍击者 III","Дубина III"
Clubber4,progression,skills,New,"Clubber IV","棍击者 IV","Дубина IV"
Clubber5,progression,skills,New,"Clubber V","棍击者 V","Дубина V"
Clubber6,progression,skills,New,"Clubber VI","棍击者 VI","Дубина VI"
Clubber7,progression,skills,New,"Clubber VII","棍击者 VII","Дубина VII"

Crafting,progression,skills,New,"Crafting","制作","Ремесло"
Crafting0,progression,skills,New,"A master crafter is quick and constantly learns as he crafts.","制作大师动作敏捷，并在制作过程中不断学习。","Мастер-ремесленник работает быстро и постоянно учится в процессе создания."
Crafting1Desc,progression,skills,New,"Increase your crafting speed by 5% and gain 3% extra XP from electrical trap kills.","制作速度提高 5%，并从电击陷阱杀敌中额外获得 3% 经验值。","Увеличивает скорость создания на 5% и дает на 3% больше опыта за убийства электрическими ловушками."
Crafting2Desc,progression,skills,New,"Increase your crafting speed by 10% and gain 6% extra XP from electrical trap kills.","制作速度提高 10%，并从电击陷阱杀敌中额外获得 6% 经验值。","Увеличивает скорость создания на 10% и дает на 6% больше опыта за убийства электрическими ловушками."
Crafting3Desc,progression,skills,New,"Increase your crafting speed by 15% and gain 9% extra XP from electrical trap kills.","制作速度提高 15%，并从电击陷阱杀敌中额外获得 9% 经验值。","Увеличивает скорость создания на 15% и дает на 9% больше опыта за убийства электрическими ловушками."
Crafting4Desc,progression,skills,New,"Increase your crafting speed by 20% and gain 12% extra XP from electrical trap kills.","制作速度提高 20%，并从电击陷阱杀敌中额外获得 12% 经验值。","Увеличивает скорость создания на 20% и дает на 12% больше опыта за убийства электрическими ловушками."
Crafting5Desc,progression,skills,New,"Increase your crafting speed by 25% and gain 15% extra XP from electrical trap kills.","制作速度提高 25%，并从电击陷阱杀敌中额外获得 15% 经验值。","Увеличивает скорость создания на 25% и дает на 15% больше опыта за убийства электрическими ловушками."
Crafting6Desc,progression,skills,New,"Increase your crafting speed by 30% and gain 18% extra XP from electrical trap kills.","制作速度提高 30%，并从电击陷阱杀敌中额外获得 18% 经验值。","Увеличивает скорость создания на 30% и дает на 18% больше опыта за убийства электрическими ловушками."
Crafting7Desc,progression,skills,New,"'Don't judge a man until you've stood at his forge and worked with his hammer.'\n\nIncrease your crafting speed by 40% and gain 25% extra XP from electrical trap kills.","“在你站在一个人的锻炉旁，用他的锤子干活之前，不要评判他。”\n\n制作速度提高 40%，并从电击陷阱杀敌中额外获得 25% 经验值。","«Не судите о человеке, пока не постоите у его горна и не поработаете его молотом».\n\nУвеличивает скорость создания на 40% и дает на 25% больше опыта за убийства электрическими ловушками."
Crafting1,progression,skills,New,"Crafting I","制作 I","Ремесло I"
Crafting2,progression,skills,New,"Crafting II","制作 II","Ремесло II"
Crafting3,progression,skills,New,"Crafting III","制作 III","Ремесло III"
