Key,English,japanese
MImpactBracing,ImpactBracing Material Bundle,"衝撃ブレーシング改造パーツ素材バンドル"
MImpactBracingDesc,"You can acquire materials for ImpactBracing.","衝撃ブレーシング改造パーツの素材を獲得できます"
MStealthBoots,StealthBoots Material Bundle,"ステルスブーツ改造パーツ素材バンドル"
MStealthBootsDesc,"You can acquire materials for StealthBoots.","ステルスブーツ改造パーツの素材を獲得できます"

MWaterPurifier,WaterPurifier Material Bundle,"浄水器改造パーツ素材バンドル"
MWaterPurifierDesc,"You can acquire materials for WaterPurifier.","浄水器改造パーツの素材を獲得できます"
MHelmetLight,HelmetLight Material Bundle,"ヘルメットライト改造パーツ素材バンドル"
MHelmetLightDesc,"You can acquire materials for HelmetLight.","ヘルメットライト改造パーツの素材を獲得できます"
MCigar,Cigar Material Bundle,"葉巻素材バンドル"
MCigarDesc,"You can acquire materials for Cigar.","葉巻の素材を獲得できます"

MFuelSaver,FuelSaver Material Bundle,"車両用省燃料改造パーツ素材バンドル"
MFuelSaverDesc,"You can acquire materials for FuelSaver.","車両用省燃料改造パーツの素材を獲得できます"
MHeadlights,Headlights Material Bundle,"車両用オフロードヘッドライト改造パーツ素材バンドル"
MHeadlightsDesc,"You can acquire materials for Headlights.","車両用オフロードヘッドライト改造パーツの素材を獲得できます"
MSuperCharger,SuperCharger Material Bundle,"車両スーパーチャージャー改造パーツ素材バンドル"
MSuperChargerDesc,"You can acquire materials for SuperCharger.","車両スーパーチャージャー改造パーツの素材を獲得できます"
MExpandedSeat,ExpandedSeat Material Bundle,"車両用座席拡大改造パーツ素材バンドル"
MExpandedSeatDesc,"You can acquire materials for ExpandedSeat.","車両用座席拡大改造パーツの素材を獲得できます"
MReserveFuelTank,ReserveFuelTank Material Bundle,"車両用予備燃料タンク改造パーツ素材バンドル"
MReserveFuelTankDesc,"You can acquire materials for ReserveFuelTank.","車両用予備燃料タンク改造パーツの素材を獲得できます"
MVCommon,Vehicle Attachment Common Material Bundle,"車両用共通改造パーツ素材バンドル"
MVCommonDesc,"You can acquire materials for Vehicle Attachments(Common).","車両用共通改造パーツの素材を獲得できます"

MDCommon,Drone Attachments Common Material Bundle,"ロボットドローン共通改造パーツ素材バンドル"
MDCommonDesc,"You can acquire materials for Drone Attachments(Common).","ロボットドローン共通改造パーツの素材を獲得できます"
MDHeadlamp,Drone Headlamp Material Bundle,"ロボットドローンヘッドランプ改造パーツ素材バンドル"
MDHeadlampDesc,"You can acquire materials for Drone Headlamp.","ロボットドローンヘッドランプ改造パーツの素材を獲得できます"
MDBooster,Drone Morale Booster Material Bundle,"ロボットドローン士気ブースター改造パーツ素材バンドル"
MDBoosterDesc,"You can acquire materials for Drone Morale Booster.","ロボットドローン士気ブースター改造パーツの素材を獲得できます"























































