Key,Source,Context,Changes,english,schinese
modArmorKineticRecoilCoreMK5Desc,items,Item,New,"A cybernetic kinetic converter that discharges an omnidirectional shockwave when the wearer is hit. When Health is above [32CD32]35%[-]: radius [FFD700]8.5m[-]; [FF4500]25.8[-] Bashing damage with strong knockback. When Health is at or below [32CD32]35%[-]: radius extends to [FFD700]11.125m[-]. Hit enemies have a [FFA500]45%[-] chance to be ragdolled for 1s. You gain [708090]53.75%[-] physical damage resistance for 5s. Cooldown: [00BFFF]6s[-].","赛博动能转换装置——能将受击产生的动能瞬间转化为全向冲击脉冲。生命值高于[32CD32]35%[-]时：半径[FFD700]8.5米[-]；造成[FF4500]25.8[-]点钝击伤害并强力击退。生命值不高于[32CD32]35%[-]时：半径扩大至[FFD700]11.125米[-]。被击中的敌人有[FFA500]45%[-]概率倒地1秒。自身获得[708090]53.75%[-]物理减伤，持续5秒。冷却时间：[00BFFF]6秒[-]。"
buffMK5KineticRecoilResistName,buffs,Buff,New,Kinetic Shield,动能护盾
buffMK5KineticRecoilResistDesc,buffs,Buff,New,Physical damage resistance increased by [708090]53.75%[-].,物理伤害抗性提升[708090]53.75%[-]。

modArmorKineticRecoilCoreMK6,items,Item,New,[9932CC]Kinetic Recoil Core MK6[-],[9932CC]动能反冲核心·MK6[-]
modArmorKineticRecoilCoreMK6Desc,items,Item,New,"A cybernetic kinetic converter that discharges an omnidirectional shockwave when the wearer is hit. When Health is above [32CD32]35%[-]: radius [FFD700]9.5m[-]; [FF4500]29.4[-] Bashing damage with strong knockback. When Health is at or below [32CD32]35%[-]: radius extends to [FFD700]12.5m[-]. Hit enemies have a [FFA500]45%[-] chance to be ragdolled for 1s. You gain [708090]60%[-] physical damage resistance for 5s. Cooldown: [00BFFF]6s[-].","赛博动能转换装置——能将受击产生的动能瞬间转化为全向冲击脉冲。生命值高于[32CD32]35%[-]时：半径[FFD700]9.5米[-]；造成[FF4500]29.4[-]点钝击伤害并强力击退。生命值不高于[32CD32]35%[-]时：半径扩大至[FFD700]12.5米[-]。被击中的敌人有[FFA500]45%[-]概率倒地1秒。自身获得[708090]60%[-]物理减伤，持续5秒。冷却时间：[00BFFF]6秒[-]。"
buffMK6KineticRecoilResistName,buffs,Buff,New,Kinetic Shield,动能护盾
buffMK6KineticRecoilResistDesc,buffs,Buff,New,Physical damage resistance increased by [708090]60%[-].,物理伤害抗性提升[708090]60%[-]。

modArmorEmergencyHealingCanisterMK1,items,Item,New,[8B4513]Emergency Healing Canister MK1[-],[8B4513]应急治疗罐·MK1[-]
modArmorEmergencyHealingCanisterMK1Desc,items,Item,New,"A nano-med dispenser synced to your biomonitor — when the flesh falters, the steel heals. When Health is at or below [32CD32]50%[-]: automatically deploys [FFA500]1[-] healing canister, creating a medic mist zone of [FFD700]6m[-] radius for [FFA500]10s[-]. Allies inside the zone recover [32CD32]10[-] Health per tick ([FFA500]1s[-] interval). Cooldown: [00BFFF]15s[-].","与生物监测器直连的纳米医疗分配器——肉身凋零之际，钢铁取而代之。生命值不高于[32CD32]50%[-]时：自动投掷[FFA500]1[-]枚治疗罐，在[FFD700]6米[-]半径内生成医疗雾区域，持续[FFA500]10秒[-]。区域内友方每跳恢复[32CD32]10[-]点生命（间隔[FFA500]1秒[-]）。冷却时间：[00BFFF]15秒[-]。"

modArmorEmergencyHealingCanisterMK2,items,Item,New,[FF8C00]Emergency Healing Canister MK2[-],[FF8C00]应急治疗罐·MK2[-]
modArmorEmergencyHealingCanisterMK2Desc,items,Item,New,"An enhanced bio-chem dispenser with expanded dispersal field and accelerated cell-regeneration formula. When Health is at or below [32CD32]50%[-]: automatically deploys [FFA500]1[-] healing canister, creating a medic mist zone of [FFD700]8m[-] radius for [FFA500]10s[-]. Allies inside the zone recover [32CD32]18[-] Health per tick ([FFA500]1s[-] interval). Cooldown: [00BFFF]12s[-].","升级型生化分配器——拓展扩散场与加速细胞再生配方。生命值不高于[32CD32]50%[-]时：自动投掷[FFA500]1[-]枚治疗罐，在[FFD700]8米[-]半径内生成医疗雾区域，持续[FFA500]10秒[-]。区域内友方每跳恢复[32CD32]18[-]点生命（间隔[FFA500]1秒[-]）。冷却时间：[00BFFF]12秒[-]。"

modArmorEmergencyHealingCanisterMK3,items,Item,New,[B8860B]Emergency Healing Canister MK3[-],[B8860B]应急治疗罐·MK3[-]
modArmorEmergencyHealingCanisterMK3Desc,items,Item,New,"A high-efficiency dispenser with overclocked nano-mist generation matrix. When Health is at or below [32CD32]50%[-]: automatically deploys [FFA500]1[-] healing canister, creating a medic mist zone of [FFD700]9.5m[-] radius for [FFA500]10s[-]. Allies inside the zone recover [32CD32]18[-] Health every [FFA500]0.9s[-]. Cooldown: [00BFFF]12s[-].","高效型分配器——搭载超频纳米雾气生成矩阵。生命值不高于[32CD32]50%[-]时：自动投掷[FFA500]1[-]枚治疗罐，在[FFD700]9.5米[-]半径内生成医疗雾区域，持续[FFA500]10秒[-]。区域内友方每[FFA500]0.9秒[-]恢复[32CD32]18[-]点生命。冷却时间：[00BFFF]12秒[-]。"

modArmorEmergencyHealingCanisterMK4,items,Item,New,[2E8B57]Emergency Healing Canister MK4[-],[2E8B57]应急治疗罐·MK4[-]
modArmorEmergencyHealingCanisterMK4Desc,items,Item,New,"A twin-canister array fed by recombinant stem-cell serum — twice the coverage, accelerated pulse rate. When Health is at or below [32CD32]50%[-]: automatically deploys [FFA500]2[-] healing canisters, each creating a medic mist zone of [FFD700]11m[-] radius for [FFA500]10s[-]. Allies inside the zone recover [32CD32]18[-] Health every [FFA500]0.8s[-]. Cooldown: [00BFFF]12s[-].","双罐阵列——注入重组干细胞血清，双倍覆盖面积，加速脉冲频率。生命值不高于[32CD32]50%[-]时：自动投掷[FFA500]2[-]枚治疗罐，每枚在[FFD700]11米[-]半径内生成医疗雾区域，持续[FFA500]10秒[-]。区域内友方每[FFA500]0.8秒[-]恢复[32CD32]18[-]点生命。冷却时间：[00BFFF]12秒[-]。"

modArmorEmergencyHealingCanisterMK5,items,Item,New,[4169E1]Emergency Healing Canister MK5[-],[4169E1]应急治疗罐·MK5[-]
modArmorEmergencyHealingCanisterMK5Desc,items,Item,New,"Military-grade triage array with hyper-pulse delivery system — the line between life and death is measured in milliseconds. When Health is at or below [32CD32]50%[-]: automatically deploys [FFA500]2[-] healing canisters, each creating a medic mist zone of [FFD700]12.5m[-] radius for [FFA500]10s[-]. Allies inside the zone recover [32CD32]18[-] Health every [FFA500]0.7s[-]. Cooldown: [00BFFF]12s[-].","军用级分诊阵列——搭载超脉冲递送系统，生死不过毫秒之差。生命值不高于[32CD32]50%[-]时：自动投掷[FFA500]2[-]枚治疗罐，每枚在[FFD700]12.5米[-]半径内生成医疗雾区域，持续[FFA500]10秒[-]。区域内友方每[FFA500]0.7秒[-]恢复[32CD32]18[-]点生命。冷却时间：[00BFFF]12秒[-]。"

modArmorEmergencyHealingCanisterMK6,items,Item,New,[9932CC]Emergency Healing Canister MK6[-],[9932CC]应急治疗罐·MK6[-]
modArmorEmergencyHealingCanisterMK6Desc,items,Item,New,"The pinnacle of battlefield bio-automation — a triple-canister hive launcher with maximum dispersal and near-instantaneous healing pulses. When Health is at or below [32CD32]50%[-]: automatically deploys [FFA500]3[-] healing canisters, each creating a medic mist zone of [FFD700]14m[-] radius for [FFA500]10s[-]. Allies inside the zone recover [32CD32]18[-] Health every [FFA500]0.6s[-]. Cooldown: [00BFFF]12s[-].","战场生物自动化的巅峰之作——三罐蜂巢发射器，极致扩散与近乎瞬时的治疗脉冲。生命值不高于[32CD32]50%[-]时：自动投掷[FFA500]3[-]枚治疗罐，每枚在[FFD700]14米[-]半径内生成医疗雾区域，持续[FFA500]10秒[-]。区域内友方每[FFA500]0.6秒[-]恢复[32CD32]18[-]点生命。冷却时间：[00BFFF]12秒[-]。"

modArmorBloodFrenzyCharmMK1,items,Item,New,[8B4513]Blood Frenzy Charm MK1[-],[8B4513]鲜血狂热护符·MK1[-]
modArmorBloodFrenzyCharmMK1Desc,items,Item,New,"A vampiric bio-implant that floods your veins with combat stimulants upon a killing blow. On kill: [FFA500]40%[-] chance to enter Blood Frenzy for [00BFFF]6s[-], gaining [FF8C00]12%[-] movement speed, [FF4500]15%[-] attack speed, and [32CD32]+2[-] Stamina/sec.","吸血鬼生物植入体——杀戮信号触发时向血管注入战斗兴奋剂。击杀时：[FFA500]40%[-]概率进入鲜血狂热状态，持续[00BFFF]6秒[-]，获得[FF8C00]12%[-]移动速度、[FF4500]15%[-]攻击速度与[32CD32]+2[-]耐力/秒。"
buffMK1BloodFrenzyName,buffs,Buff,New,Blood Frenzy,鲜血狂热
buffMK1BloodFrenzyDesc,buffs,Buff,New,Movement speed [FF8C00]+12%[-]; attack speed [FF4500]+15%[-]; stamina recovery [32CD32]+2/s[-].,移动速度[FF8C00]+12%[-]；攻击速度[FF4500]+15%[-]；耐力恢复[32CD32]+2/秒[-]。

modArmorBloodFrenzyCharmMK2,items,Item,New,[FF8C00]Blood Frenzy Charm MK2[-],[FF8C00]鲜血狂热护符·MK2[-]
modArmorBloodFrenzyCharmMK2Desc,items,Item,New,"A refined vampiric bio-implant with amplified adrenal response. On kill: [FFA500]50%[-] chance to enter Blood Frenzy for [00BFFF]6s[-], gaining [FF8C00]21%[-] movement speed, [FF4500]26%[-] attack speed, and [32CD32]+3[-] Stamina/sec.","精炼型吸血鬼生物植入体——强化肾上腺素响应。击杀时：[FFA500]50%[-]概率进入鲜血狂热状态，持续[00BFFF]6秒[-]，获得[FF8C00]21%[-]移动速度、[FF4500]26%[-]攻击速度与[32CD32]+3[-]耐力/秒。"
buffMK2BloodFrenzyName,buffs,Buff,New,Blood Frenzy,鲜血狂热
buffMK2BloodFrenzyDesc,buffs,Buff,New,Movement speed [FF8C00]+21%[-]; attack speed [FF4500]+26%[-]; stamina recovery [32CD32]+3/s[-].,移动速度[FF8C00]+21%[-]；攻击速度[FF4500]+26%[-]；耐力恢复[32CD32]+3/秒[-]。

modArmorBloodFrenzyCharmMK3,items,Item,New,[B8860B]Blood Frenzy Charm MK3[-],[B8860B]鲜血狂热护符·MK3[-]
modArmorBloodFrenzyCharmMK3Desc,items,Item,New,"A precision-tuned hemophage circuit that sharpens the kill-response threshold. On kill: [FFA500]54%[-] chance to enter Blood Frenzy for [00BFFF]6s[-], gaining [FF8C00]24%[-] movement speed, [FF4500]27.5%[-] attack speed, and [32CD32]+3.2[-] Stamina/sec.","精密调谐嗜血回路——锐化杀戮响应阈值。击杀时：[FFA500]54%[-]概率进入鲜血狂热状态，持续[00BFFF]6秒[-]，获得[FF8C00]24%[-]移动速度、[FF4500]27.5%[-]攻击速度与[32CD32]+3.2[-]耐力/秒。"

modArmorBloodFrenzyCharmMK4,items,Item,New,[2E8B57]Blood Frenzy Charm MK4[-],[2E8B57]鲜血狂热护符·MK4[-]
modArmorBloodFrenzyCharmMK4Desc,items,Item,New,"A lethal combat regulator that pushes the body into perpetual overdrive. On kill: [FFA500]58%[-] chance to enter Blood Frenzy for [00BFFF]6s[-], gaining [FF8C00]27%[-] movement speed, [FF4500]29%[-] attack speed, and [32CD32]+3.4[-] Stamina/sec.","致命战斗调节器——将身体推入持续超频状态。击杀时：[FFA500]58%[-]概率进入鲜血狂热状态，持续[00BFFF]6秒[-]，获得[FF8C00]27%[-]移动速度、[FF4500]29%[-]攻击速度与[32CD32]+3.4[-]耐力/秒。"

modArmorBloodFrenzyCharmMK5,items,Item,New,[4169E1]Blood Frenzy Charm MK5[-],[4169E1]鲜血狂热护符·MK5[-]
modArmorBloodFrenzyCharmMK5Desc,items,Item,New,"A near-sentient slaughter-interface — the line between man and beast dissolves in a crimson haze. On kill: [FFA500]62%[-] chance to enter Blood Frenzy for [00BFFF]6s[-], gaining [FF8C00]30%[-] movement speed, [FF4500]30.5%[-] attack speed, and [32CD32]+3.6[-] Stamina/sec.","近乎有知觉的屠戮界面——人兽之界在猩红迷雾中消融。击杀时：[FFA500]62%[-]概率进入鲜血狂热状态，持续[00BFFF]6秒[-]，获得[FF8C00]30%[-]移动速度、[FF4500]30.5%[-]攻击速度与[32CD32]+3.6[-]耐力/秒。"

modArmorBloodFrenzyCharmMK6,items,Item,New,[9932CC]Blood Frenzy Charm MK6[-],[9932CC]鲜血狂热护符·MK6[-]
modArmorBloodFrenzyCharmMK6Desc,items,Item,New,"The apex predator implant — every heartbeat becomes a war drum, every kill a symphony of carnage. On kill: [FFA500]66%[-] chance to enter Blood Frenzy for [00BFFF]6s[-], gaining [FF8C00]33%[-] movement speed, [FF4500]32%[-] attack speed, and [32CD32]+3.8[-] Stamina/sec.","顶级掠食者植入体——每一次心跳皆成战鼓，每一击杀戮皆为屠戮交响。击杀时：[FFA500]66%[-]概率进入鲜血狂热状态，持续[00BFFF]6秒[-]，获得[FF8C00]33%[-]移动速度、[FF4500]32%[-]攻击速度与[32CD32]+3.8[-]耐力/秒。"

modArmorStormGrounderMK1,items,Item,New,[8B4513]Storm Grounder MK1[-],[8B4513]风暴接地器·MK1[-]
modArmorStormGrounderMK1Desc,items,Item,New,"A high-voltage static discharge array woven into your boots — when stamina runs dry, the storm answers. When Stamina is at or below [32CD32]40%[-]: instantly restores [FFD700]25%[-] max Stamina, reduces stamina consumption by [708090]30%[-] for [FFA500]15s[-], and unleashes an electromagnetic shockwave of [FFD700]5m[-] radius that [FFA500]shocks[-] nearby enemies. Deals [FF4500]450[-] Electrical damage to Storm/Swift elite enemies. Cooldown: [00BFFF]25s[-].","编织于战靴中的高压静电释放阵列——耐力耗尽之际，风暴响应召唤。耐力不高于[32CD32]40%[-]时：立即恢复[FFD700]25%[-]最大耐力，耐力消耗降低[708090]30%[-]持续[FFA500]15秒[-]，并释放[FFD700]5米[-]半径电磁震荡波[FFA500]电击[-]附近敌人。对雷暴/迅捷精英造成[FF4500]450[-]点电击伤害。冷却时间：[00BFFF]25秒[-]。"
buffMK1StormGrounderStaminaEfficiencyName,buffs,Buff,New,Static Overcharge,静电过载
buffMK1StormGrounderStaminaEfficiencyDesc,buffs,Buff,New,Stamina consumption reduced by [708090]30%[-].,耐力消耗降低[708090]30%[-]。

modArmorStormGrounderMK2,items,Item,New,[FF8C00]Storm Grounder MK2[-],[FF8C00]风暴接地器·MK2[-]
modArmorStormGrounderMK2Desc,items,Item,New,"An overcharged capacitor array with amplified discharge radius and elite-hunting voltage. When Stamina is at or below [32CD32]40%[-]: instantly restores [FFD700]35%[-] max Stamina, reduces stamina consumption by [708090]35%[-] for [FFA500]15s[-], and unleashes an electromagnetic shockwave of [FFD700]7m[-] radius dealing [FF4500]100[-] Electrical damage and [FFA500]shocking[-] enemies. Deals [FF4500]650[-] Electrical damage to Storm/Swift elite enemies. Cooldown: [00BFFF]25s[-].","过载电容器阵列——强化放电半径与精英狩猎电压。耐力不高于[32CD32]40%[-]时：立即恢复[FFD700]35%[-]最大耐力，耐力消耗降低[708090]35%[-]持续[FFA500]15秒[-]，释放[FFD700]7米[-]半径电磁震荡波，造成[FF4500]100[-]点电击伤害并[FFA500]电击[-]敌人。对雷暴/迅捷精英造成[FF4500]650[-]点电击伤害。冷却时间：[00BFFF]25秒[-]。"
buffMK2StormGrounderStaminaEfficiencyName,buffs,Buff,New,Static Overcharge,静电过载
buffMK2StormGrounderStaminaEfficiencyDesc,buffs,Buff,New,Stamina consumption reduced by [708090]35%[-].,耐力消耗降低[708090]35%[-]。

modArmorStormGrounderMK3,items,Item,New,[B8860B]Storm Grounder MK3[-],[B8860B]风暴接地器·MK3[-]
modArmorStormGrounderMK3Desc,items,Item,New,"A tri-phase discharge modulator for expanded shockwave coverage and intensified voltage. When Stamina is at or below [32CD32]40%[-]: instantly restores [FFD700]41.25%[-] max Stamina, reduces stamina consumption by [708090]42.5%[-] for [FFA500]15s[-], and unleashes an electromagnetic shockwave of [FFD700]8.25m[-] radius dealing [FF4500]145[-] Electrical damage and [FFA500]shocking[-] enemies. Deals [FF4500]650[-] Electrical damage to Storm/Swift elite enemies. Cooldown: [00BFFF]25s[-].","三相位放电调制器——拓展震荡波覆盖范围并强化电压。耐力不高于[32CD32]40%[-]时：立即恢复[FFD700]41.25%[-]最大耐力，耐力消耗降低[708090]42.5%[-]持续[FFA500]15秒[-]，释放[FFD700]8.25米[-]半径电磁震荡波，造成[FF4500]145[-]点电击伤害并[FFA500]电击[-]敌人。对雷暴/迅捷精英造成[FF4500]650[-]点电击伤害。冷却时间：[00BFFF]25秒[-]。"

modArmorStormGrounderMK4,items,Item,New,[2E8B57]Storm Grounder MK4[-],[2E8B57]风暴接地器·MK4[-]
modArmorStormGrounderMK4Desc,items,Item,New,"A quad-core discharge engine that turns your footsteps into rolling thunder. When Stamina is at or below [32CD32]40%[-]: instantly restores [FFD700]47.5%[-] max Stamina, reduces stamina consumption by [708090]50%[-] for [FFA500]15s[-], and unleashes an electromagnetic shockwave of [FFD700]9.5m[-] radius dealing [FF4500]190[-] Electrical damage and [FFA500]shocking[-] enemies. Deals [FF4500]650[-] Electrical damage to Storm/Swift elite enemies. Cooldown: [00BFFF]25s[-].","四核放电机芯——化脚步为滚滚雷霆。耐力不高于[32CD32]40%[-]时：立即恢复[FFD700]47.5%[-]最大耐力，耐力消耗降低[708090]50%[-]持续[FFA500]15秒[-]，释放[FFD700]9.5米[-]半径电磁震荡波，造成[FF4500]190[-]点电击伤害并[FFA500]电击[-]敌人。对雷暴/迅捷精英造成[FF4500]650[-]点电击伤害。冷却时间：[00BFFF]25秒[-]。"

modArmorStormGrounderMK5,items,Item,New,[4169E1]Storm Grounder MK5[-],[4169E1]风暴接地器·MK5[-]
modArmorStormGrounderMK5Desc,items,Item,New,"A military-grade ground-fault weapon — the earth itself becomes a conductor of your fury. When Stamina is at or below [32CD32]40%[-]: instantly restores [FFD700]53.75%[-] max Stamina, reduces stamina consumption by [708090]57.5%[-] for [FFA500]15s[-], and unleashes an electromagnetic shockwave of [FFD700]10.75m[-] radius dealing [FF4500]235[-] Electrical damage and [FFA500]shocking[-] enemies. Deals [FF4500]650[-] Electrical damage to Storm/Swift elite enemies. Cooldown: [00BFFF]25s[-].","军用级接地武器——大地本身化为传导怒火之导体。耐力不高于[32CD32]40%[-]时：立即恢复[FFD700]53.75%[-]最大耐力，耐力消耗降低[708090]57.5%[-]持续[FFA500]15秒[-]，释放[FFD700]10.75米[-]半径电磁震荡波，造成[FF4500]235[-]点电击伤害并[FFA500]电击[-]敌人。对雷暴/迅捷精英造成[FF4500]650[-]点电击伤害。冷却时间：[00BFFF]25秒[-]。"

modArmorStormGrounderMK6,items,Item,New,[9932CC]Storm Grounder MK6[-],[9932CC]风暴接地器·MK6[-]
modArmorStormGrounderMK6Desc,items,Item,New,"The eye of the storm made manifest — a singularity-grade discharge array that rewrites the local electromagnetic spectrum. When Stamina is at or below [32CD32]40%[-]: instantly restores [FFD700]60%[-] max Stamina, reduces stamina consumption by [708090]65%[-] for [FFA500]15s[-], and unleashes an electromagnetic shockwave of [FFD700]12m[-] radius dealing [FF4500]280[-] Electrical damage and [FFA500]shocking[-] enemies. Deals [FF4500]650[-] Electrical damage to Storm/Swift elite enemies. Cooldown: [00BFFF]25s[-].","风暴之眼降世——奇点级放电阵列，重写局部电磁光谱。耐力不高于[32CD32]40%[-]时：立即恢复[FFD700]60%[-]最大耐力，耐力消耗降低[708090]65%[-]持续[FFA500]15秒[-]，释放[FFD700]12米[-]半径电磁震荡波，造成[FF4500]280[-]点电击伤害并[FFA500]电击[-]敌人。对雷暴/迅捷精英造成[FF4500]650[-]点电击伤害。冷却时间：[00BFFF]25秒[-]。"

modArmorPlaguePurifierPumpMK1,items,Item,New,[8B4513]Plague Purifier Pump MK1[-],[8B4513]瘟疫净化泵·MK1[-]
modArmorPlaguePurifierPumpMK1Desc,items,Item,New,"A shoulder-mounted filtration array that detects and neutralizes airborne pathogens and radiation. When afflicted by Plague/Radiation/Wither: instantly [32CD32]cleanses all negative effects[-] and deploys a purifier mist zone of [FFD700]6m[-] radius for [FFA500]5s[-]. Allies in mist recover [32CD32]5[-] Health/sec and become [708090]immune[-] to plague/radiation/wither. Enemies in mist deal [FF4500]10%[-] less damage. You also gain [32CD32]+20%[-] healing received for [FFA500]8s[-]. Cooldown: [00BFFF]10s[-].","肩载过滤阵列——侦测并中和空气中病原体与辐射。受到瘟疫/辐射/凋零影响时：立即[32CD32]清除所有负面效果[-]，在[FFD700]6米[-]半径内生成净化雾区域，持续[FFA500]5秒[-]。雾内友方每秒恢复[32CD32]5[-]点生命并获得对瘟疫/辐射/凋零的[708090]免疫[-]。雾内敌人伤害降低[FF4500]10%[-]。自身治疗效果提升[32CD32]+20%[-]，持续[FFA500]8秒[-]。冷却时间：[00BFFF]10秒[-]。"
buffMK1PlaguePurifierPumpHealingBoostName,buffs,Buff,New,Purified Circulation,净化循环
buffMK1PlaguePurifierPumpHealingBoostDesc,buffs,Buff,New,Healing received increased by [32CD32]20%[-].,受到的治疗效果提升[32CD32]20%[-]。

modArmorPlaguePurifierPumpMK2,items,Item,New,[FF8C00]Plague Purifier Pump MK2[-],[FF8C00]瘟疫净化泵·MK2[-]
modArmorPlaguePurifierPumpMK2Desc,items,Item,New,"An upgraded dual-chamber filter with extended mist dispersion and stronger purification. When afflicted by Plague/Radiation/Wither: instantly [32CD32]cleanses all negative effects[-] and deploys a purifier mist zone of [FFD700]8m[-] radius for [FFA500]8s[-]. Allies in mist recover [32CD32]10[-] Health/sec and become [708090]immune[-] to plague/radiation/wither. Enemies in mist deal [FF4500]15%[-] less damage. You also gain [32CD32]+30%[-] healing received for [FFA500]8s[-]. Cooldown: [00BFFF]10s[-].","升级型双腔过滤器——拓展雾化扩散与强化净化力。受到瘟疫/辐射/凋零影响时：立即[32CD32]清除所有负面效果[-]，在[FFD700]8米[-]半径内生成净化雾区域，持续[FFA500]8秒[-]。雾内友方每秒恢复[32CD32]10[-]点生命并获得对瘟疫/辐射/凋零的[708090]免疫[-]。雾内敌人伤害降低[FF4500]15%[-]。自身治疗效果提升[32CD32]+30%[-]，持续[FFA500]8秒[-]。冷却时间：[00BFFF]10秒[-]。"
buffMK2PlaguePurifierPumpHealingBoostName,buffs,Buff,New,Purified Circulation,净化循环
buffMK2PlaguePurifierPumpHealingBoostDesc,buffs,Buff,New,Healing received increased by [32CD32]30%[-].,受到的治疗效果提升[32CD32]30%[-]。

modArmorPlaguePurifierPumpMK3,items,Item,New,[B8860B]Plague Purifier Pump MK3[-],[B8860B]瘟疫净化泵·MK3[-]
