Key,File,Type,UsedInMainMenu,NoTranslate,english,german,latam,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
vtt_cost_info,dialogs,Dialog,,,{1} x{0} / {2}m,{1} x{0} / {2}m,{1} x{0} / {2}m,{1} x{0} / {2}m,{1} x{0} / {2}m,{1} x{0} / {2}m,{2}mごとに{1}×{0},{1} x{0} / {2}m,{1} x{0} / {2}m,{1} x{0} / {2}m,{1} x{0} / {2}m,{1} x{0} / {2}m,{1} x{0} / {2}m,{1} x{0} / {2}m
vtt_cost_info_minimum,dialogs,Dialog,,,{1} x{0} / {2}m (min {3}),{1} x{0} / {2}m (min {3}),{1} x{0} / {2}m (min {3}),{1} x{0} / {2}m (min {3}),{1} x{0} / {2}m (min {3}),{1} x{0} / {2}m (min {3}),{2}mごとに{1}×{0}（最低{3}）,{1} x{0} / {2}m (min {3}),{1} x{0} / {2}m (min {3}),{1} x{0} / {2}m (min {3}),{1} x{0} / {2}m (min {3}),{1} x{0} / {2}m (min {3}),{1} x{0} / {2}m (min {3}),{1} x{0} / {2}m (min {3})
vtt_status_response,dialogs,Dialog,,,[B0B0B0]-- {0} --[-],[B0B0B0]-- {0} --[-],[B0B0B0]-- {0} --[-],[B0B0B0]-- {0} --[-],[B0B0B0]-- {0} --[-],[B0B0B0]-- {0} --[-],[B0B0B0]-- {0} --[-],[B0B0B0]-- {0} --[-],[B0B0B0]-- {0} --[-],[B0B0B0]-- {0} --[-],[B0B0B0]-- {0} --[-],[B0B0B0]-- {0} --[-],[B0B0B0]-- {0} --[-],[B0B0B0]-- {0} --[-]
vtt_status_response_with_cost,dialogs,Dialog,,,[B0B0B0]-- {0} | {1} --[-],[B0B0B0]-- {0} | {1} --[-],[B0B0B0]-- {0} | {1} --[-],[B0B0B0]-- {0} | {1} --[-],[B0B0B0]-- {0} | {1} --[-],[B0B0B0]-- {0} | {1} --[-],[B0B0B0]-- {0} | {1} --[-],[B0B0B0]-- {0} | {1} --[-],[B0B0B0]-- {0} | {1} --[-],[B0B0B0]-- {0} | {1} --[-],[B0B0B0]-- {0} | {1} --[-],[B0B0B0]-- {0} | {1} --[-],[B0B0B0]-- {0} | {1} --[-],[B0B0B0]-- {0} | {1} --[-]
vtt_compact_status,dialogs,Dialog,,,Mode: {0},Mode: {0},Mode: {0},Mode: {0},Mode: {0},Mode: {0},Mode: {0},Mode: {0},Mode: {0},Mode: {0},Mode: {0},Mode: {0},Mode: {0},Mode: {0}
vtt_compact_status_paged,dialogs,Dialog,,,Mode: {0} | Page {1}/{2} ({3}),Mode: {0} | Page {1}/{2} ({3}),Mode: {0} | Page {1}/{2} ({3}),Mode: {0} | Page {1}/{2} ({3}),Mode: {0} | Page {1}/{2} ({3}),Mode: {0} | Page {1}/{2} ({3}),Mode: {0} | Page {1}/{2} ({3}),Mode: {0} | Page {1}/{2} ({3}),Mode: {0} | Page {1}/{2} ({3}),Mode: {0} | Page {1}/{2} ({3}),Mode: {0} | Page {1}/{2} ({3}),Mode: {0} | Page {1}/{2} ({3}),Mode: {0} | Page {1}/{2} ({3}),Mode: {0} | Page {1}/{2} ({3})
vtt_page_previous,dialogs,Dialog,,,< Previous page,< Previous page,< Previous page,< Previous page,< Previous page,< Previous page,< 前のページ,< Previous page,< Previous page,< Previous page,< Previous page,< Previous page,< Previous page,< Previous page
vtt_page_next,dialogs,Dialog,,,Next page >,Next page >,Next page >,Next page >,Next page >,Next page >,次のページ >,Next page >,Next page >,Next page >,Next page >,Next page >,Next page >,Next page >
vtt_destination_response,dialogs,Dialog,,,{0} - {1} {2} ({3}),{0} - {1} {2} ({3}),{0} - {1} {2} ({3}),{0} - {1} {2} ({3}),{0} - {1} {2} ({3}),{0} - {1} {2} ({3}),{0} - {1}{2}（{3}）,{0} - {1} {2} ({3}),{0} - {1} {2} ({3}),{0} - {1} {2} ({3}),{0} - {1} {2} ({3}),{0} - {1} {2} ({3}),{0} - {1} {2} ({3}),{0} - {1} {2} ({3})
vtt_transport_destination,dialogs,Tooltip,,,Trader {0} ({1}),Trader {0} ({1}),Trader {0} ({1}),Trader {0} ({1}),Trader {0} ({1}),Trader {0} ({1}),トレーダー {0}の地（{1}）,Trader {0} ({1}),Trader {0} ({1}),Trader {0} ({1}),Trader {0} ({1}),Trader {0} ({1}),Trader {0} ({1}),Trader {0} ({1})
vtt_coordinates,dialogs,Dialog,,,{0} {1} {2} {3},{0} {1} {2} {3},{0} {1} {2} {3},{0} {1} {2} {3},{0} {1} {2} {3},{0} {1} {2} {3},{0}{1}、{2}{3},{0} {1} {2} {3},{0} {1} {2} {3},{0} {1} {2} {3},{0} {1} {2} {3},{0} {1} {2} {3},{0} {1} {2} {3},{0} {1} {2} {3}
vtt_coord_east,dialogs,Dialog,,,E,E,E,E,E,E,東,E,E,E,E,E,E,E
vtt_coord_west,dialogs,Dialog,,,W,W,W,W,W,W,西,W,W,W,W,W,W,W
vtt_coord_north,dialogs,Dialog,,,N,N,N,N,N,N,北,N,N,N,N,N,N,N
vtt_coord_south,dialogs,Dialog,,,S,S,S,S,S,S,南,S,S,S,S,S,S,S
vtt_distance_m,dialogs,Dialog,,,{0} m,{0} m,{0} m,{0} m,{0} m,{0} m,{0} m,{0} m,{0} m,{0} m,{0} m,{0} m,{0} m,{0} m
vtt_distance_km,dialogs,Dialog,,,{0} km,{0} km,{0} km,{0} km,{0} km,{0} km,{0}km,{0} km,{0} km,{0} km,{0} km,{0} km,{0} km,{0} km
vtt_distance_unknown,dialogs,Dialog,,,distance unknown,distance unknown,distance unknown,distance unknown,distance unknown,distance unknown,距離不明,distance unknown,distance unknown,distance unknown,distance unknown,distance unknown,distance unknown,distance unknown
vtt_direction_unknown,dialogs,Dialog,,,?,?,?,?,?,?,不明,?,?,?,?,?,?,?
vtt_direction_here,dialogs,Dialog,,,here,here,here,here,here,here,現在地,here,here,here,here,here,here,here
vtt_direction_n,dialogs,Dialog,,,N,N,N,N,N,N,北,N,N,N,N,N,N,N
vtt_direction_ne,dialogs,Dialog,,,NE,NE,NE,NE,NE,NE,北東,NE,NE,NE,NE,NE,NE,NE
vtt_direction_e,dialogs,Dialog,,,E,E,E,E,E,E,東,E,E,E,E,E,E,E
vtt_direction_se,dialogs,Dialog,,,SE,SE,SE,SE,SE,SE,南東,SE,SE,SE,SE,SE,SE,SE
vtt_direction_s,dialogs,Dialog,,,S,S,S,S,S,S,南,S,S,S,S,S,S,S
vtt_direction_sw,dialogs,Dialog,,,SW,SW,SW,SW,SW,SW,南西,SW,SW,SW,SW,SW,SW,SW
vtt_direction_w,dialogs,Dialog,,,W,W,W,W,W,W,西,W,W,W,W,W,W,W
vtt_direction_nw,dialogs,Dialog,,,NW,NW,NW,NW,NW,NW,北西,NW,NW,NW,NW,NW,NW,NW
vtt_trader_name_generic,dialogs,Dialog,,,Trader,Trader,Trader,Trader,Trader,Trader,トレーダー,Trader,Trader,Trader,Trader,Trader,Trader,Trader
vtt_trader_name_unknown,dialogs,Dialog,,,Trader {0},Trader {0},Trader {0},Trader {0},Trader {0},Trader {0},トレーダー {0},Trader {0},Trader {0},Trader {0},Trader {0},Trader {0},Trader {0},Trader {0}
vtt_trader_name_rekt,dialogs,Dialog,,,Rekt,Rekt,Rekt,Rekt,Rekt,Rekt,レクト,Rekt,Rekt,Rekt,Rekt,Rekt,Rekt,Rekt
vtt_trader_name_jen,dialogs,Dialog,,,Jen,Jen,Jen,Jen,Jen,Jen,ジェン,Jen,Jen,Jen,Jen,Jen,Jen,Jen
vtt_trader_name_bob,dialogs,Dialog,,,Bob,Bob,Bob,Bob,Bob,Bob,ボブ,Bob,Bob,Bob,Bob,Bob,Bob,Bob
vtt_trader_name_hugh,dialogs,Dialog,,,Hugh,Hugh,Hugh,Hugh,Hugh,Hugh,ヒュー,Hugh,Hugh,Hugh,Hugh,Hugh,Hugh,Hugh
vtt_trader_name_joel,dialogs,Dialog,,,Joel,Joel,Joel,Joel,Joel,Joel,ジョエル,Joel,Joel,Joel,Joel,Joel,Joel,Joel
vtt_trader_name_gene,dialogs,Dialog,,,Gene,Gene,Gene,Gene,Gene,Gene,ジーン,Gene,Gene,Gene,Gene,Gene,Gene,Gene
vtt_trader_name_johnny,dialogs,Dialog,,,Johnny,Johnny,Johnny,Johnny,Johnny,Johnny,ジョニー,Johnny,Johnny,Johnny,Johnny,Johnny,Johnny,Johnny
vtt_trader_name_radcat,dialogs,Dialog,,,Rad Cat,Rad Cat,Rad Cat,Rad Cat,Rad Cat,Rad Cat,ラッドキャット,Rad Cat,Rad Cat,Rad Cat,Rad Cat,Rad Cat,Rad Cat,Rad Cat
vtt_statement_confirm,dialogs,Dialog,,,Confirm travel,Confirm travel,Confirm travel,Confirm travel,Confirm travel,Confirm travel,移動の確認,Confirm travel,Confirm travel,Confirm travel,Confirm travel,Confirm travel,Confirm travel,Confirm travel
vtt_confirm_prompt,dialogs,Dialog,,,Travel to {0}?,Travel to {0}?,Travel to {0}?,Travel to {0}?,Travel to {0}?,Travel to {0}?,{0} へ移動しますか？,Travel to {0}?,Travel to {0}?,Travel to {0}?,Travel to {0}?,Travel to {0}?,Travel to {0}?,Travel to {0}?
vtt_confirm_cost_line,dialogs,Dialog,,,Cost: {1} x{0},Cost: {1} x{0},Cost: {1} x{0},Cost: {1} x{0},Cost: {1} x{0},Cost: {1} x{0},コスト: {1}×{0},Cost: {1} x{0},Cost: {1} x{0},Cost: {1} x{0},Cost: {1} x{0},Cost: {1} x{0},Cost: {1} x{0},Cost: {1} x{0}
vtt_confirm_yes,dialogs,Dialog,,,Yes (travel here),Yes (travel here),Yes (travel here),Yes (travel here),Yes (travel here),Yes (travel here),はい（移動する）,Yes (travel here),Yes (travel here),Yes (travel here),Yes (travel here),Yes (travel here),Yes (travel here),Yes (travel here)
vtt_confirm_no,dialogs,Dialog,,,No (go back),No (go back),No (go back),No (go back),No (go back),No (go back),いいえ（戻る）,No (go back),No (go back),No (go back),No (go back),No (go back),No (go back),No (go back)
vtt_destination_biome_suffix,dialogs,Dialog,,, {0}, {0}, {0}, {0}, {0}, {0}, {0}, {0}, {0}, {0}, {0}, {0}, {0}, {0}
vtt_biome_forest,dialogs,Dialog,,,Forest,Forest,Forest,Forest,Forest,Forest,森,Forest,Forest,Forest,Forest,Forest,Forest,Forest
vtt_biome_desert,dialogs,Dialog,,,Desert,Desert,Desert,Desert,Desert,Desert,砂漠,Desert,Desert,Desert,Desert,Desert,Desert,Desert
vtt_biome_snow,dialogs,Dialog,,,Snow,Snow,Snow,Snow,Snow,Snow,雪原,Snow,Snow,Snow,Snow,Snow,Snow,Snow
vtt_biome_wasteland,dialogs,Dialog,,,Wasteland,Wasteland,Wasteland,Wasteland,Wasteland,Wasteland,荒野,Wasteland,Wasteland,Wasteland,Wasteland,Wasteland,Wasteland,Wasteland
vtt_biome_burnt_forest,dialogs,Dialog,,,Burnt Forest,Burnt Forest,Burnt Forest,Burnt Forest,Burnt Forest,Burnt Forest,燃える森,Burnt Forest,Burnt Forest,Burnt Forest,Burnt Forest,Burnt Forest,Burnt Forest,Burnt Forest
vtt_biome_water,dialogs,Dialog,,,Underwater,Underwater,Underwater,Underwater,Underwater,Underwater,水中,Underwater,Underwater,Underwater,Underwater,Underwater,Underwater,Underwater
