Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,french
attIntellectRank11LongDesc,progression,Attribute,,,"You are now a true genius. Deal [7CFC00]325%[-] head shot damage and have a [7CFC00]60%[-] chance to dismember with stun batons and Robotic turrets.",,"Vous êtes désormais un vrai génie. Vos coups à la tête infligent [7CFC00]325%[-] de dégâts et vous gagnez [7CFC00]60%[-] de chance de démembrer avec les matraques électriques et les tourelles robotiques."
attIntellectRank12Desc,progression,Attribute,,,[FF3030]★ Master : Supreme Consciousness ★[-],,[FF3030]★ Master : Conscience Suprême ★[-]
attIntellectRank12LongDesc,progression,Attribute,,,"You are now a true genius. Deal [7CFC00]350%[-] head shot damage and have a [7CFC00]70%[-] chance to dismember with stun batons and Robotic turrets.",,"Vous êtes désormais un vrai génie. Vos coups à la tête infligent [7CFC00]350%[-] de dégâts et vous gagnez [7CFC00]70%[-] de chance de démembrer avec les matraques électriques et les tourelles robotiques."
perkDeadEyeRank6Desc,progression,perk Per,,,[FFD700]★ Master : The Eye of the Storm ★[-],,[FFD700]★ Master : L'Œil du Cyclone ★[-]
perkDeadEyeRank6LongDesc,progression,perk Per,,,"Dead Eye: Through all the hard training and countless shooting, you are now a dead eye sniper. Rifles deal [7CFC00]70%[-] more damage, aim [7CFC00]80%[-] faster, reload [7CFC00]45%[-] faster, and use [7CFC00]30%[-] less stamina while aiming down the sights.\nKill Streak: Successive kills increase damage bonus by 30%, 40% up to a maximum of 50%.",,"Précis : À force de vous entraîner, vos tirs sont devenus dévastateurs. Vous infligez [7CFC00]70 %[-] de dégâts supplémentaires, visez [7CFC00]80 %[-] plus vite et rechargez [7CFC00]45 %[-] plus rapidement avec un fusil. Vous dépensez également [7CFC00]30 %[-] d'endurance en moins lors de la visée.\nSérie de victimes : Les éliminations successives augmentent le bonus de dégâts de 30 %, 40 % puis 50 % au maximum."
perkDemolitionsExpertRank6Desc,progression,perk Per,,,[FFD700]★ Master : Master Demolitionist ★[-],,[FFD700]★ Master : Maître Démolisseur ★[-]
perkDemolitionsExpertRank6LongDesc,progression,perk Per,,,"Demolitions expert. You make things go boom in a big way. Increase damage [7CFC00]70%[-], reload speed by [7CFC00]50%[-], aim [7CFC00]70%[-] faster and a [7CFC00]70%[-] greater chance to dismember.",,"Expert en démolition : Vous faites tout exploser façon feu d'artifice. Vous infligez [7CFC00]70 %[-] de dégâts supplémentaires, rechargez [7CFC00]50 %[-] plus vite, visez [7CFC00]70 %[-] plus rapidement, et gagnez [7CFC00]70 %[-] de chance de démembrement supplémentaire."
perkJavelinMasterRank6Desc,progression,perk Per,,,[FFD700]★ Master : Spear Warlord ★[-],,[FFD700]★ Master : Seigneur de la Lance ★[-]
perkJavelinMasterRank6LongDesc,progression,perk Per,,,"You're now a Spear Master! If this wasn't the apocalypse, you could be in the Olympics! Spears inflict [7CFC00]70%[-] more damage and power attacks have a [7CFC00]100%[-] chance to slow enemies. Killing blows grant [7CFC00]40[-] stamina. Find more spears and parts in loot.",,"Personne ne peut vous surpasser avec une lance ! Si ce n'était pas l'apocalypse, vous pourriez participer aux Jeux olympiques ! Vous infligez [7CFC00]70 %[-] de dégâts supplémentaires avec les lances. Vos attaques puissantes ont [7CFC00]100 %[-] de chance de ralentir vos adversaires. Les attaques létales confèrent [7CFC00]40[-] points d'endurance. Vous trouvez plus de lances et de pièces dans les butins."
perkFlurryOfPerceptionRank6Desc,progression,perk Per,,,[FFD700]★ Master : Eagle Eyes ★[-],,[FFD700]★ Master : Yeux d'aigle ★[-]
perkFlurryOfPerceptionRank6LongDesc,progression,perk Per,,,"With lightning reflexes, most opponents never see it coming.\nAttacks with spears are [7CFC00]35%[-] faster.",,"Avec de tels réflexes, vos adversaires ne comprendront pas ce qui leur arrive.\nLes attaques avec les lances sont [7CFC00]35 %[-] plus rapides."
perkInfiltratorRank6Desc,progression,perk Per,,,[FFD700]★ Master : Trap Master ★[-],,[FFD700]★ Master : Maître des Pièges ★[-]
perkInfiltratorRank6LongDesc,progression,perk Per,,,Land Mine Savants walk freely without fear.\nLoose board traps and land mines trigger [7CFC00]7[-] seconds slower.\nBecomes [7CFC00]immune to landmines[-].,,Les pros des mines terrestres peuvent se déplacer sans crainte.\nLes planchers piégés et les mines terrestres se déclenchent [7CFC00]7[-] secondes plus tard.\nDevient [7CFC00]immunisé contre les mines terrestres[-].
perkAnimalTrackerRank6Desc,progression,perk Per,,,[FFD700]★ Master : Master Tracker ★[-],,[FFD700]★ Master : Traqueur Maître ★[-]
perkAnimalTrackerRank6LongDesc,progression,perk Per,,,"You can now track all animals up to [7CFC00]200[-]m",,"Vous pouvez désormais traquer tous les animaux jusqu'à [7CFC00]200[-] m".
perkPenetratorRank6Desc,progression,perk Per,,,[FFD700]★ Piercing Master ★[-],,[FFD700]★ Maître de la Pénétration ★[-]
perkPenetratorRank6LongDesc,progression,perk Per,,,"Ignore [7CFC00]30%[-] of armor with firearms and archery, [7CFC00]70%[-] on anything with Target Armor reduction.\nArmor-piercing rounds can penetrate [7CFC00]six[-] additional targets or a block of up to 1000 hit points when using Hunting, Lever Action, or Sniper Rifles.",,"Vous ignorez [7CFC00]30 %[-] de l'armure avec les armes à feu et le tir à l'arc, et [7CFC00]70 %[-] sur tout avec la réduction Armure de la cible.\nLes cartouches perforantes peuvent traverser [7CFC00]six[-] cibles supplémentaires ou un bloc de 1 000 points de dégâts maximum lorsqu'utilisées avec des fusils de chasse, à levier ou de sniper."
perkPerceptionMasteryRank6Desc,progression,perk Per,,,[FFD700]★ Master : Ultimate Perception ★[-],,[FFD700]★ Master : Perception Ultime ★[-]
perkPerceptionMasteryRank6LongDesc,progression,perk Per,,,Rifle shots deal [7CFC00]70%[-] more damage and sprinting power attacks with spears deal [7CFC00]40%[-] more damage.,,Les tirs de fusils infligent [7CFC00]70 %[-] de dégâts en plus et les attaques puissantes sprintées avec les lances infligent [7CFC00]40 %[-] de dégâts en plus.
perkTreasureHunterRank6Desc,progression,perk Per,,,[FFD700]★ Master : Relic Master ★[-],,[FFD700]★ Master : Maître des reliques ★[-]
perkTreasureHunterRank6LongDesc,progression,perk Per,,,"Treasure radius decreases 1m for every [7CFC00]2[-] blocks dug.\nDo [7CFC00]150%[-] more damage to dirt.\nFind [7CFC00]50%[-] more items in buried chests.",,"Tous les [7CFC00]2[-] blocs creusés, le rayon de trésor est réduit de 1 mètre.\nInfligez [7CFC00]150 %[-] de dégâts supplémentaires à la terre.\nVous trouvez [7CFC00]50 %[-] d'objets dans les coffres enterrés."
perkSalvageOperationsRank6Desc,progression,perk Per,,,[FFD700]★ Master : Master Salvager ★[-],,[FFD700]★ Master : Maître Ferrailleur ★[-]
perkSalvageOperationsRank6LongDesc,progression,perk Per,,,"You have a knack for salvaging more useful parts than the average scrapper. Salvage tools deal [7CFC00]70%[-] more damage and gain up to [7CFC00]140%[-] more resources with a wrench, ratchet or impact driver. Find more salvage tools and parts in loot.",,"Vous avez un vrai don pour récupérer les composants les plus utiles par rapport aux autres. Vous infligez [7CFC00]70 %[-] de dégâts supplémentaires et obtenez jusqu'à [7CFC00]140 %[-] de ressources supplémentaires avec une clé à molette, un cliquet ou une boulonneuse à choc. Vous trouvez davantage d'outils de récupération et de pièces dans les butins."
perkBoomstickRank6Desc,progression,perk Str,,,[FFD700]★ Master : The Horde Crusher ★[-],,[FFD700]★ Master : Le Broyeur de Hordes ★[-]
perkBoomstickRank6LongDesc,progression,perk Str,,,"You've ascended to the legendary status of Shotgun Messiah, as you are the last thing they see before meeting their maker. Shotguns deal [7CFC00]70%[-] more damage, [7CFC00]70%[-] faster fire rate, and a [7CFC00]40%[-] faster reload. Find more shotguns, parts, and shotgun ammo in loot.\nLeg shots cripple opponents.",,"Vous avez atteint le rang de divinité du Shotgun Messiah, et répandez le jugement dernier sur tous vos ennemis. Vous infligez [7CFC00]70 %[-] de dégâts supplémentaires, tirez [7CFC00]70 %[-] plus vite et rechargez [7CFC00]40 %[-] plus rapidement avec un fusil à pompe. Vous trouvez davantage de fusils à pompe, de pièces et de munitions de fusil à pompe dans les butins.\nLes tirs dans les jambes paralysent vos adversaires.",
perkPummelPeteRank6Desc,progression,perk Str,,,[FFD700]★ Master : World Breaker ★[-],,[FFD700]★ Master : Casseur de Mondes ★[-]
perkPummelPeteRank6LongDesc,progression,perk Str,,,"Pummel Pete once took on 50 zombies with just a club and he would be proud of you. Clubs deal [7CFC00]70%[-] more damage, attacks do [7CFC00]280%[-] more damage to stunned enemies, and power attacks have a [7CFC00]100%[-] chance to knock foes back down. Killing blows grant [7CFC00]40[-] stamina. 3 successive hits in a short time causes the last blow to do [7CFC00]100%[-] extra damage. Find more clubs and parts in loot.",,"Pete la terreur a un jour terrassé 50 zombies avec une simple massue. Il serait fier de vous. Les massues infligent [7CFC00]70 %[-] de dégâts supplémentaires. Vos attaques infligent [7CFC00]280 %[-] de dégâts supplémentaires aux ennemis étourdis tandis que vos attaques puissantes ont [7CFC00]100 %[-] de chance de renverser les ennemis. Les attaques létales confèrent [7CFC00]40[-] points d'endurance. Après 3 coups successifs dans un court laps de temps, vous infligez [7CFC00]100 %[-] de dégâts supplémentaires lors du dernier coup. Vous trouvez davantage de massues et de pièces dans les butins."
perkSkullCrusherRank6Desc,progression,perk Str,,,[FFD700]★ Master : Bone Breaker ★[-],,[FFD700]★ Master : Briseur d'Os ★[-]
perkSkullCrusherRank6LongDesc,progression,perk Str,,,"Skull Crusher. If anyone pisses you off, you have the means to crush their skull. Sledgehammers deal [7CFC00]70%[-] more damage. Power attacks have a [7CFC00]100%[-] chance to knock down enemies and a [7CFC00]70%[-] chance to knock down nearby foes. Killing blows grant [7CFC00]40[-] stamina. Find more sledges and parts in loot.",,"Brise-crâne : si quelqu'un vous cherche des noises, vous avez maintenant la capacité de lui briser le crâne. Les masses infligent [7CFC00]70 %[-] de dégâts supplémentaires. Vos attaques puissantes ont [7CFC00]100 %[-] de chance de renverser les ennemis principaux et [7CFC00]70 %[-] de chance de renverser ceux aux alentours. Les attaques létales confèrent [7CFC00]40[-] points d'endurance. Vous trouvez davantage de masses et de pièces dans les butins."
perkGrandSlamRank6Desc,progression,perk Str,,,[FFD700]★ Master : Olympian Strike ★[-],,[FFD700]★ Master : Frappe de l'Olympe ★[-]
perkGrandSlamRank6LongDesc,progression,perk Str,,,"Sprinting Power attacks with clubs, bats, or sledgehammers have a [7CFC00]70%[-] chance to ragdoll enemies.",,"Les attaques puissantes sprintées avec les massues, les battes ou les masses ont [7CFC00]70 %[-] de chance de repousser les ennemis."
perkFlurryOfStrengthRank6Desc,progression,perk Str,,,[FFD700]★ Master : Titan Frenzy ★[-],,[FFD700]★ Master : Frénésie de Titan ★[-]
perkFlurryOfStrengthRank6LongDesc,progression,perk Str,,,"Let your enemies take a ride on heavy metal.\nClubs and sledgehammers are [7CFC00]35%[-] faster.",,"Faites découvrir à vos ennemis les joies du ""metal"" !\nLes massues et les masses sont [7CFC00]35 %[-] plus rapides."
perkPackMuleRank6Desc,progression,perk Str,,,[FFD700]★ Master : Atlas ★[-],,[FFD700]★ Master : Atlas ★[-]
perkPackMuleRank6LongDesc,progression,perk Str,,,Now you're showing off! You're either part mule or strongman.\nCarry four more items without being encumbered.\nIncreases the crafting speed of items from your inventory by [7CFC00]70%[-].\nYour pack has a [7CFC00]35%[-] chance to ignore physical damage when hit.,,"C'est bon, on a compris : soit vous êtes à moitié mule, soit vous êtes très fort.\nVous portez quatre objets supplémentaires sans souffrir d'encombrement.\nAugmentez la vitesse de fabrication des objets depuis votre inventaire de [7CFC00]70 %[-].\nVous avez [7CFC00]35 %[-] de chance que votre sac ignore les dégâts physiques en cas de blessure."
perkStrengthMasteryRank6Desc,progression,perk Str,,,[FFD700]★ Master : Colossus Peak ★[-],,[FFD700]★ Master : Le Sommet du Colosse ★[-]
perkStrengthMasteryRank6LongDesc,progression,perk Str,,,"Headshots with clubs or sledgehammers have an additional [7CFC00]70%[-]  chance to dismember enemies.",,"Les coups à la tête avec les massues et les masses ont [7CFC00]70 %[-]  de chance en plus de démembrer les ennemis."
perkMiner69rRank6Desc,progression,perk Str,,,[FFD700]★ Master : Legendary Miner ★[-],,[FFD700]★ Master : Mineur Légendaire ★[-]
perkMiner69rRank6LongDesc,progression,perk Str,,,"You're the legendary Miner 69'er and can find the juicy center of any rock faster than a horny bullfrog. Increase damage by [7CFC00]70%[-] and block damage by [7CFC00]210%[-] with any axe, pick, shovel, chainsaw or auger. Find more tools and parts in loot.",,"Vous égalez les légendaires mineurs de la ruée vers l'or et parvenez à dénicher les meilleurs filons avant quiconque. Vous augmentez les dégâts de [7CFC00]70 %[-] et les dégâts de bloc de [7CFC00]210 %[-] avec n'importe quelle hache, pioche, pelle, tronçonneuse ou foreuse. Vous trouvez plus d'outils et de pièces dans les butins."
perkMotherLodeRank6Desc,progression,perk Str,,,[FFD700]★ Master : Ultimate Prospector ★[-],,[FFD700]★ Master : Prospecteur Ultime ★[-]
perkMotherLodeRank6LongDesc,progression,perk Str,,,"Mining is second nature to you and you find the mother lode everywhere you go. Harvest [7CFC00]140%[-] more from ore, stone, terrain blocks and trees with any axe, pick, shovel, chainsaw or auger.",,"Vous ne faites qu'un avec le minage, et où que vous alliez, vous trouvez toujours le meilleur filon. Les minerais, les pierres, les blocs de terrain et les arbres vous rapportent [7CFC00]140 %[-] de ressources supplémentaires avec n'importe quelle hache, pioche, pelle, tronçonneuse ou foreuse."
perkJunkMinerRank6Desc,progression,perk Str,,,[FFD700]★ Master : Scrap Master ★[-],,[FFD700]★ Master : Maître de la Récupération ★[-]
perkJunkMinerRank6LongDesc,progression,perk Str,,,"Gain [7CFC00]140%[-] more resources from mining junk such as cloth, plastic etc.",,"Obtenez [7CFC00]140 %[-] de ressources en plus en minant des déchets comme les vêtements, le plastique, etc."
perkBrawlerRank6Desc,progression,perk For,,,[FFD700]★ Master : Ultimate Brawler ★[-],,[FFD700]★ Master : Bagarreur Ultime ★[-]
perkBrawlerRank6LongDesc,progression,perk For,,,"You're now a complete mixed martial artist and a registered lethal weapon. Knuckle weapons deal [7CFC00]70%[-] more damage and have a higher chance to explode heads with punches. Killing blows grant [7CFC00]40[-] stamina. Find more knuckle weapons and parts in loot.",,"Vous maîtrisez désormais toute une myriade d'arts martiaux et vos poings sont considérés comme une arme mortelle. Vous infligez [7CFC00]70 %[-] de dégâts supplémentaires et avez plus de chance de faire exploser les têtes avec les poings américains. Les attaques létales confèrent [7CFC00]40[-] points d'endurance. Vous trouvez plus de poings américains et de pièces dans les butins."
perkMachineGunnerRank6Desc,progression,perk For,,,[FFD700]★ Master : Lead Storm ★[-],,[FFD700]★ Master : Tempête de Plomb ★[-]
perkMachineGunnerRank6LongDesc,progression,perk For,,,"You are now the ultimate machine gunner. Machine guns deal [7CFC00]70%[-] more damage, [7CFC00]35%[-] faster fire rate and reload [7CFC00]45%[-] faster. Commando Adrenaline: Each shot scored with automatic weapons gives you [7CFC00]8[-] stamina.\nFind more machine guns, parts, and 7.62mm ammo in loot.",,"Personne ne vous arrive à la cheville avec une mitrailleuse. Vous infligez [7CFC00]70 %[-] de dégâts supplémentaires, tirez [7CFC00]35 %[-] plus vite, et rechargez [7CFC00]45 %[-] plus rapidement avec les mitrailleuses. Adrénaline militaire : chaque tir réussi avec une arme automatique vous rend [7CFC00]8[-] points d'endurance.\nVous trouvez plus de mitrailleuses, de pièces et de munitions de cal. 7,62 mm dans les butins."
perkFlurryOfFortitudeRank6Desc,progression,perk For,,,[FFD700]★ Master : Light Speed ★[-],,[FFD700]★ Master : Vitesse de la lumière ★[-]
perkFlurryOfFortitudeRank6LongDesc,progression,perk For,,,Your fists are so fast now that enemies will quickly be overwhelmed by your relentless onslaught of punches.\nPunching is [7CFC00]35%[-] faster.,,Vos coups de poing sont si rapides que les ennemis succomberont vite à vos assauts incessants.\nLes coups de poing sont [7CFC00]35 % plus rapides.
perkTheHuntsmanRank6Desc,progression,perk For,,,[FFD700]★ Master: Apex Hunter ★[-],,[FFD700]★ Master : Chasseur Suprême ★[-]
perkTheHuntsmanRank6LongDesc,progression,perk For,,,You are a true mountain man and let nothing go to waste. Harvest [7CFC00]140%[-] more resources from animals using any bladed tool or weapon.,,"Vous êtes un vrai montagnard. Avec vous, rien ne se jette. Utiliser des outils tranchants ou des armes sur des animaux vous octroie [7CFC00]140 %[-] de ressources supplémentaires."
perkPainToleranceRank6Desc,progression,perk For,,,[FFD700]★ Master: Unbreakable ★[-],,[FFD700]★ Master: Incassable ★[-]
perkPainToleranceRank6LongDesc,progression,perk For,,,You seem to thrive on pain and now possess an iron chin. Reduce HP loss by [7CFC00]35%[-] and have no chance to get stunned.,,Vous semblez vous développer dans la douleur et possédez désormais une mâchoire de fer. Réduit la perte de PV de [7CFC00]35 %[-]. Vous ne pouvez plus être étourdi.
perkFortitudeMasteryRank6Desc,progression,perk For,,,[FFD700]★ Master: Indomitable Fortitude ★[-],,[FFD700]★ Master: Robustesse Indomptable ★[-]
perkFortitudeMasteryRank6LongDesc,progression,perk For,,,"Your fortitude makes you harder to break.\nPermanently adds an additional [7CFC00]75[-] max health\nFist weapons have a [7CFC00]30%[-] chance to gain silver or gold teeth fillings from zombie kills.",,"Votre courage vous rend plus difficile à vaincre.\nAugmente définitivement votre santé max. de [7CFC00]75[-] points supplémentaires.\nEn éliminant des zombies avec des armes pour les poings, vous avez [7CFC00]30 %[-] de chance d'obtenir des plombages en or ou en argent."
perkSiphoningStrikesRank6Desc,progression,perk For,,,[FFD700]★ Master: Vampire Lord ★[-],,[FFD700]★ Master: Seigneur Vampire ★[-]
perkSiphoningStrikesRank6LongDesc,progression,perk For,,,"The battlefield is your feast, and the fallen are your meal.\nMelee kills grant [7CFC00]15[-] HP.",,"Le champ de bataille est votre festin, et les morts sont votre repas.\nLes éliminations en mêlée octroient [7CFC00]15[-] PV."
perkHealingFactorRank6Desc,progression,perk For,,,[FFD700]★ Master: Divine Metabolism ★[-],,[FFD700]★ Master: Métabolisme Divin ★[-]
perkHealingFactorRank6LongDesc,progression,perk For,,,You must have mutant genes from all the radiation. Gain 1 health every [7CFC00]4[-] seconds with natural healing. Critical injuries heal twice as fast.,,Les radiations ont dû faire muter vos gênes. La guérison naturelle vous rend 1 point de santé toutes les [7CFC00]4[-] secondes. Les blessures graves se soignent deux fois plus rapidement.
perkSlowMetabolismRank6Desc,progression,perk For,,,[FFD700]★ Master: Self-Sustaining ★[-],,[FFD700]★ Master: Autosuffisant ★[-]
perkSlowMetabolismRank6LongDesc,progression,perk For,,,You have an iron gut and could probably eat glass and survive. Reduce food and water loss from physical exertion by [7CFC00]35%[-].\nHold your breath for 180 seconds. Chance of Dysentery is reduced by [7CFC00]10%[-]. Buffs from consumables last [7CFC00]75%[-] longer.,,Vous pourriez manger du verre, et tout de même survivre. Réduit la perte d'eau et de nourriture due à l'effort physique de [7CFC00]35 %[-].\nVous pouvez retenir votre souffle pendant 180 secondes. Les chances de dysenterie sont réduites de [7CFC00]10 %[-]. Les buffs des consommables durent [7CFC00]75 %[-] plus longtemps."
perkRuleOneCardioNameRank6Desc,progression,perk For,,,[FFD700]★ Master: Endless Breath ★[-],,[FFD700]★ Master: Souffle Infini ★[-]
perkRuleOneCardioNameRank6LongDesc,progression,perk For,,,The ultimate test of endurance is like a walk in the park.\nPermanently adds an additional [7CFC00]50[-] max stamina\nIncrease stamina regen by [7CFC00]50%[-] when sprinting.,,Le test d'endurance ultime est comme une promenade de santé.\nAugmente définitivement l'endurance max. de [7CFC00]50[-] points supplémentaires\nVous augmentez votre régénération d'endurance de [7CFC00]50 %[-] lorsque vous sprintez.
perkArcheryRank6Desc,progression,perk Agi,,,[FFD700]★ Master: Artemis ★[-],,[FFD700]★ Master: Artemis ★[-]
perkArcheryRank6LongDesc,progression,perk Agi,,,"You have mastered archery and are now a ranger. Bows deal [7CFC00]70%[-] more damage, [7CFC00]70%[-] faster aim, draw and reload with bows.\nFind more bows and parts in loot.",,"Vous infligez [7CFC00]70 %[-] de dégâts supplémentaires avec les arcs, et vous visez, chargez et dégainez [7CFC00]70 %[-] plus vite.\nVous trouvez davantage d'arcs et de pièces dans les butins."
perkGunslingerRank6Desc,progression,perk Agi,,,[FFD700]★ Master: Deadly Six-Shooter ★[-],,[FFD700]★ Master: Six-Coups Mortel ★[-]
perkGunslingerRank6LongDesc,progression,perk Agi,,,"You are the fastest gunslinger in Navezgane. Handguns deal [7CFC00]70%[-] more damage, [7CFC00]35%[-] faster fire rate, and [7CFC00]45%[-] faster reload with handguns. Critical Damage: 3 successive hits in a short time cause the last shot to do 100% extra damage.\nFind more handguns, parts, and 9mm ammo in loot.",,"Personne ne dégaine aussi vite que vous dans tout Navezgane. Vous infligez [7CFC00]70 %[-] de dégâts supplémentaires, tirez [7CFC00]35 %[-] plus vite, et rechargez [7CFC00]45 %[-] plus rapidement avec les armes de poing. Dégâts critiques : après 3 tirs successifs dans un court laps de temps, vous infligez 100 % de dégâts supplémentaires sur votre prochain tir.\nVous trouvez plus d'armes de poing, de pièces et de munitions cal. 9 mm dans les butins."
perkDeepCutsRank6Desc,progression,perk Agi,,,[FFD700]★ Master: Soul Reaper ★[-],,[FFD700]★ Master: Faucheur d'Âmes ★[-]
perkDeepCutsRank6LongDesc,progression,perk Agi,,,You're a samurai and can make sushi out of your foes. Bladed weapons deal [7CFC00]70%[-] more damage. Inflict up to 7 Bleeding Wounds on an enemy and a power attack inflicts 5. All glancing blows cause 1 Bleeding Wound. Enemies run 20% slower while bleeding.\nStamina costs are reduced by [7CFC00]35%[-] and [7CFC00]70%[-] for power attacks. Killing blows grant [7CFC00]40[-] stamina. Find more bladed weapons and parts in loot.,,"Tel les samouraïs, vous transformez vos ennemis en sushis. Vous infligez [7CFC00]70 %[-] de dégâts supplémentaires avec les armes tranchantes. Vous pouvez infliger jusqu'à 7 saignements à un ennemi (une attaque puissante en inflige 5). Tous les coups déviés infligent 1 saignement. Les ennemis souffrant de saignement courent 20 % moins vite.\nLes coûts en endurance sont réduits de [7CFC00]35 %[-] et de [7CFC00]70 %[-] pour les attaques puissantes. Les attaques létales confèrent [7CFC00]40[-] points d'endurance. Vous trouvez davantage d'armes tranchantes et de pièces dans les butins."
perkFlurryOfAgilityRank6Desc,progression,perk Agi,,,[FFD700]★ Master: Thousand Fists ★[-],,[FFD700]★ Master: Mille Poings ★[-]
