Key,Source,Context,Changes,English
OCPE,progression,Attribute,New,"Singularity Mastery = Increase salvage yield by 100%, tool damage by 50%, and attack speed by 30%."
OCPD,progression,Attribute,New,"O Corp leads in salvage operations, increasing yield from dismantling and repurposing the city's remnants."

Pcorp,progression,Attribute,New,PCorp
Pcorpname,progression,Attribute,New,P Corp
PcorpDesc,progression,Attribute,New,Currently handle ammo capacity
PCPA,progression,Attribute,New,"Extend ranged magazine capacity by {v:20,100}%."
PCPE,progression,Attribute,New,"Singularity Mastery = Extend magazine capacity by 200%, add 8 to bow ammo, and 1 to auger/chainsaw."
PCPD,progression,Attribute,New,"P Corp engineers advanced ammunition systems, expanding magazine capacity and enabling new options for ranged weapons."

Qcorp,progression,Attribute,New,QCorp
Qcorpname,progression,Attribute,New,Q Corp
QcorpDesc,progression,Attribute,New,Increase weapon durability
QCPA,progression,Attribute,New,"Reduce weapon and tool degradation by {v:5,50}%."
QCPE,progression,Attribute,New,"Singularity Mastery = Reduce weapon, tool, and armor degradation by 50%."
QCPD,progression,Attribute,New,"Q Corp develops durable weaponry and armor, reducing wear and extending the lifespan of all equipment."

Rcorp,progression,Attribute,New,RCorp
Rcorpname,progression,Attribute,New,R Corp
RcorpDesc,progression,Attribute,New,"Improve knife, baton, and explosive; every 10 levels gain extra harvest from crops"
RCPA,progression,Attribute,New,"Improve knife and baton damage by {v:5,60}%, explosive damage by {v:5,30}%, and block damage by {v:5,100}%."
RCPE,progression,Attribute,New,"Singularity Mastery = Give baton 8 extra range, improve knife speed by 60%, heavy armor resistance by 80%, and crop harvest by 10."
RCPD,progression,Attribute,New,"R Corp innovates in close-quarters and explosive tactics, improving knives, batons, and crop yields for sustainable combat and food."

Scorp,progression,Attribute,New,SCorp
Scorpname,progression,Attribute,New,S Corp
ScorpDesc,progression,Attribute,New,Junk turret specialization
SCPA,progression,Attribute,New,"Improve junk turret active range by {v:1,30}m and magazine size by {v:20,350}."
SCPE,progression,Attribute,New,"Singularity Mastery = Deploy up to 15 extra junk turrets, with 35m range and 50% faster reload."
SCPD,progression,Attribute,New,"S Corp specializes in automated defense, enhancing junk turret capabilities and allowing for greater battlefield control."

Tcorp,progression,Attribute,New,TCorp
Tcorpname,progression,Attribute,New,T Corp
TcorpDesc,progression,Attribute,New,Improve reload speed and fire rate
TCPA,progression,Attribute,New,"Improve fire rate by {v:10,55}% and reload speed by {v:10,50}%."
TCPE,progression,Attribute,New,"Singularity Mastery = Improve fire rate by 100%, tool attack speed by 100%, and reload speed by 75%."
TCPD,progression,Attribute,New,"T Corp refines weapon mechanisms, increasing reload speed, fire rate, and tool efficiency for relentless offense."

Ucorp,progression,Attribute,New,UCorp
Ucorpname,progression,Attribute,New,U Corp
UcorpDesc,progression,Attribute,New,Improve crafting speed
UCPA,progression,Attribute,New,"Reduce crafting time by {v:9,50}%."
UCPE,progression,Attribute,New,"Singularity Mastery = Reduce crafting time by 50% and add 1 crafting tier."
UCPD,progression,Attribute,New,"U Corp streamlines production, accelerating crafting speed and unlocking higher-tier creations for the city's advancement."

Vcorp,progression,Attribute,New,VCorp
Vcorpname,progression,Attribute,New,V Corp
VcorpDesc,progression,Attribute,New,Improve sneak damage
VCPA,progression,Attribute,New,"Add {v:0.4,25} to sneak multiplier and improve sneak damage by {v:20,300}%."
VCPE,progression,Attribute,New,"Singularity Mastery = Add 3 to sneak multiplier and 400% to sneak damage."
VCPD,progression,Attribute,New,"V Corp perfects stealth operations, greatly increasing sneak damage and ensuring silent eliminations."

Wcorp,progression,Attribute,New,WCorp
Wcorpname,progression,Attribute,New,W Corp
WcorpDesc,progression,Attribute,New,Improve zombie harvesting
WCPA,progression,Attribute,New,"Extract {v:2,18} extra resources from butchering zombies."
WCPE,progression,Attribute,New,"Singularity Mastery = Maximize zombie harvesting efficiency."
WCPD,progression,Attribute,New,"W Corp optimizes zombie harvesting, extracting more resources from the undead and improving overall efficiency."

Xcorp,progression,Attribute,New,XCorp
Xcorpname,progression,Attribute,New,X Corp
XcorpDesc,progression,Attribute,New,Improve health bar
XCPA,progression,Attribute,New,"Increase max health by {v:10,300}."
XCPE,progression,Attribute,New,"Singularity Mastery = Increase max health by 350 and reduce max health loss by 10%."
XCPD,progression,Attribute,New,"X Corp enhances personal resilience, improving health bars and reducing incoming damage for unmatched survivability."
